schema_version,policy_type,action_distribution_semantics,evaluation_seed,seed_index,episode_index,episode_seed,episode_return,episode_length,terminated,truncated,time_limit,time_limit_source,complete,stop_reason,action_noop,action_fire,action_right,action_left,action_distribution_json,requested_action_noop,requested_action_fire,requested_action_right,requested_action_left,executed_action_noop,executed_action_fire,executed_action_right,executed_action_left,requested_action_distribution_json,executed_action_distribution_json,auto_fire_count,auto_fire_reason_counts_json
2,dqn,executed/wrapper-resolved action,101,0,1,101,7.0,287,True,False,False,,True,terminated,16,81,130,60,"{""FIRE"": 81, ""LEFT"": 60, ""NOOP"": 16, ""RIGHT"": 130}",16,74,136,61,16,81,130,60,"{""FIRE"": 74, ""LEFT"": 61, ""NOOP"": 16, ""RIGHT"": 136}","{""FIRE"": 81, ""LEFT"": 60, ""NOOP"": 16, ""RIGHT"": 130}",11,"{""after_life_loss"": 8, ""initial_serve"": 3}"
2,dqn,executed/wrapper-resolved action,101,0,2,102,9.0,509,True,False,False,,True,terminated,40,94,151,224,"{""FIRE"": 94, ""LEFT"": 224, ""NOOP"": 40, ""RIGHT"": 151}",40,87,151,231,40,94,151,224,"{""FIRE"": 87, ""LEFT"": 231, ""NOOP"": 40, ""RIGHT"": 151}","{""FIRE"": 94, ""LEFT"": 224, ""NOOP"": 40, ""RIGHT"": 151}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,101,0,3,103,12.0,595,True,False,False,,True,terminated,30,84,190,291,"{""FIRE"": 84, ""LEFT"": 291, ""NOOP"": 30, ""RIGHT"": 190}",30,78,191,296,30,84,190,291,"{""FIRE"": 78, ""LEFT"": 296, ""NOOP"": 30, ""RIGHT"": 191}","{""FIRE"": 84, ""LEFT"": 291, ""NOOP"": 30, ""RIGHT"": 190}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,101,0,4,104,15.0,601,True,False,False,,True,terminated,26,162,186,227,"{""FIRE"": 162, ""LEFT"": 227, ""NOOP"": 26, ""RIGHT"": 186}",26,153,190,232,26,162,186,227,"{""FIRE"": 153, ""LEFT"": 232, ""NOOP"": 26, ""RIGHT"": 190}","{""FIRE"": 162, ""LEFT"": 227, ""NOOP"": 26, ""RIGHT"": 186}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,101,0,5,105,14.0,569,True,False,False,,True,terminated,64,186,163,156,"{""FIRE"": 186, ""LEFT"": 156, ""NOOP"": 64, ""RIGHT"": 163}",66,178,165,160,64,186,163,156,"{""FIRE"": 178, ""LEFT"": 160, ""NOOP"": 66, ""RIGHT"": 165}","{""FIRE"": 186, ""LEFT"": 156, ""NOOP"": 64, ""RIGHT"": 163}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,202,1,1,202,8.0,434,True,False,False,,True,terminated,25,80,111,218,"{""FIRE"": 80, ""LEFT"": 218, ""NOOP"": 25, ""RIGHT"": 111}",25,72,111,226,25,80,111,218,"{""FIRE"": 72, ""LEFT"": 226, ""NOOP"": 25, ""RIGHT"": 111}","{""FIRE"": 80, ""LEFT"": 218, ""NOOP"": 25, ""RIGHT"": 111}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,202,1,2,203,14.0,605,True,False,False,,True,terminated,33,133,129,310,"{""FIRE"": 133, ""LEFT"": 310, ""NOOP"": 33, ""RIGHT"": 129}",33,125,130,317,33,133,129,310,"{""FIRE"": 125, ""LEFT"": 317, ""NOOP"": 33, ""RIGHT"": 130}","{""FIRE"": 133, ""LEFT"": 310, ""NOOP"": 33, ""RIGHT"": 129}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,202,1,3,204,8.0,418,True,False,False,,True,terminated,29,99,138,152,"{""FIRE"": 99, ""LEFT"": 152, ""NOOP"": 29, ""RIGHT"": 138}",29,91,140,158,29,99,138,152,"{""FIRE"": 91, ""LEFT"": 158, ""NOOP"": 29, ""RIGHT"": 140}","{""FIRE"": 99, ""LEFT"": 152, ""NOOP"": 29, ""RIGHT"": 138}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,202,1,4,205,15.0,565,True,False,False,,True,terminated,25,207,129,204,"{""FIRE"": 207, ""LEFT"": 204, ""NOOP"": 25, ""RIGHT"": 129}",25,199,131,210,25,207,129,204,"{""FIRE"": 199, ""LEFT"": 210, ""NOOP"": 25, ""RIGHT"": 131}","{""FIRE"": 207, ""LEFT"": 204, ""NOOP"": 25, ""RIGHT"": 129}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,202,1,5,206,8.0,402,True,False,False,,True,terminated,43,108,89,162,"{""FIRE"": 108, ""LEFT"": 162, ""NOOP"": 43, ""RIGHT"": 89}",45,100,89,168,43,108,89,162,"{""FIRE"": 100, ""LEFT"": 168, ""NOOP"": 45, ""RIGHT"": 89}","{""FIRE"": 108, ""LEFT"": 162, ""NOOP"": 43, ""RIGHT"": 89}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,303,2,1,303,6.0,331,True,False,False,,True,terminated,16,77,106,132,"{""FIRE"": 77, ""LEFT"": 132, ""NOOP"": 16, ""RIGHT"": 106}",16,70,106,139,16,77,106,132,"{""FIRE"": 70, ""LEFT"": 139, ""NOOP"": 16, ""RIGHT"": 106}","{""FIRE"": 77, ""LEFT"": 132, ""NOOP"": 16, ""RIGHT"": 106}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,303,2,2,304,12.0,504,True,False,False,,True,terminated,17,132,159,196,"{""FIRE"": 132, ""LEFT"": 196, ""NOOP"": 17, ""RIGHT"": 159}",17,123,162,202,17,132,159,196,"{""FIRE"": 123, ""LEFT"": 202, ""NOOP"": 17, ""RIGHT"": 162}","{""FIRE"": 132, ""LEFT"": 196, ""NOOP"": 17, ""RIGHT"": 159}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
