timestamp_utc,elapsed_seconds,gpu_index,gpu_utilization_percent,gpu_power_watts,gpu_memory_used_bytes,gpu_memory_total_bytes,process_cpu_percent,process_rss_bytes,sample_status
2026-08-25T09:07:20.305741+00:00,0.0011012000031769276,0,6.0,21.05,1617952768.0,8585740288.0,0.0,,ok
2026-08-25T09:07:21.335585+00:00,1.0307393999537453,0,8.0,21.1,1725956096.0,8585740288.0,5.406176898125222,,ok
2026-08-25T09:07:22.311756+00:00,2.006727200001478,0,15.0,21.13,1771044864.0,8585740288.0,5.303120848177474,,ok
2026-08-25T09:07:23.305424+00:00,3.0003129999386147,0,23.0,25.01,1787822080.0,8585740288.0,5.602340784612847,,ok
2026-08-25T09:07:24.311307+00:00,4.006021799985319,0,9.0,21.06,1848639488.0,8585740288.0,5.729012960543279,,ok
2026-08-25T09:07:25.312330+00:00,5.007375400047749,0,30.0,26.41,1842348032.0,8585740288.0,5.948978712043983,,ok
2026-08-25T09:07:26.307309+00:00,6.002071599941701,0,28.0,25.66,1841299456.0,8585740288.0,5.98879461953821,,ok
2026-08-25T09:07:27.314310+00:00,7.009065099991858,0,27.0,22.64,1827667968.0,8585740288.0,5.818682046813758,,ok
2026-08-25T09:07:28.318310+00:00,8.013181400019675,0,26.0,22.39,1819279360.0,8585740288.0,5.738099012873688,,ok
2026-08-25T09:07:29.311309+00:00,9.006078699952923,0,29.0,27.09,1817182208.0,8585740288.0,6.196354598218389,,ok
2026-08-25T09:07:30.313309+00:00,10.008046600036323,0,27.0,22.57,1816133632.0,8585740288.0,6.042795881480862,,ok
2026-08-25T09:07:31.318307+00:00,11.01297409995459,0,28.0,22.64,1816133632.0,8585740288.0,5.733467091375858,,ok
2026-08-25T09:07:32.308883+00:00,12.003567500039935,0,28.0,24.59,1816133632.0,8585740288.0,6.309349526719569,,ok
2026-08-25T09:07:33.314301+00:00,13.009182099951431,0,30.0,26.03,1816133632.0,8585740288.0,5.535327600146118,,ok
2026-08-25T09:07:34.307364+00:00,14.002106499974616,0,27.0,26.02,1816133632.0,8585740288.0,5.99948117889026,,ok
2026-08-25T09:07:35.306495+00:00,15.001243200036697,0,28.0,26.02,1816133632.0,8585740288.0,5.8644377687617,,ok
2026-08-25T09:07:36.313894+00:00,16.00908999994863,0,26.0,26.14,1816133632.0,8585740288.0,5.5230678417457995,,ok
2026-08-25T09:07:37.306903+00:00,17.00189950002823,0,23.0,33.67,1817182208.0,8585740288.0,6.098539044514123,,ok
2026-08-25T09:07:38.316997+00:00,18.01171210000757,0,27.0,23.53,1822425088.0,8585740288.0,5.802437997030214,,ok
2026-08-25T09:07:39.306884+00:00,19.001598399947397,0,27.0,25.92,1819279360.0,8585740288.0,6.017894429251238,,ok
2026-08-25T09:07:40.315307+00:00,20.010205199941993,0,29.0,23.27,1819279360.0,8585740288.0,6.003020701459126,,ok
2026-08-25T09:07:41.313306+00:00,21.008000900037587,0,27.0,25.99,1818230784.0,8585740288.0,5.872319352988434,,ok
2026-08-25T09:07:42.306305+00:00,22.001102500013076,0,25.0,25.31,1818230784.0,8585740288.0,5.99841068642627,,ok
2026-08-25T09:07:43.317306+00:00,23.01233019994106,0,28.0,26.35,1816133632.0,8585740288.0,5.601174196873132,,ok
2026-08-25T09:07:44.313307+00:00,24.00805029994808,0,33.0,27.7,1822425088.0,8585740288.0,6.178788346199525,,ok
2026-08-25T09:07:45.306307+00:00,25.001103200018406,0,29.0,26.31,1827667968.0,8585740288.0,6.195383699664251,,ok
2026-08-25T09:07:46.312307+00:00,26.007054200046696,0,29.0,26.28,1827667968.0,8585740288.0,5.824712137902561,,ok
2026-08-25T09:07:47.318014+00:00,27.012874600011855,0,29.0,26.14,1826619392.0,8585740288.0,5.922559584401295,,ok
2026-08-25T09:07:48.310038+00:00,28.004778599948622,0,28.0,26.23,1826619392.0,8585740288.0,5.907199689056129,,ok
2026-08-25T09:07:49.306030+00:00,29.000782800023444,0,30.0,26.93,1825570816.0,8585740288.0,6.078977879355489,,ok
2026-08-25T09:07:50.313017+00:00,30.00769630004652,0,24.0,25.02,1825570816.0,8585740288.0,5.722158606343012,,ok
2026-08-25T09:07:51.315886+00:00,31.010570500046015,0,28.0,24.93,1830813696.0,8585740288.0,6.134711362604691,,ok
2026-08-25T09:07:52.307889+00:00,32.002575999940746,0,29.0,22.79,1827667968.0,8585740288.0,6.005038531169581,,ok
2026-08-25T09:07:53.318677+00:00,33.01342099998146,0,28.0,23.11,1826619392.0,8585740288.0,5.60329476801275,,ok
2026-08-25T09:07:54.310251+00:00,34.00500280002598,0,28.0,23.35,1826619392.0,8585740288.0,6.007604465645271,,ok
2026-08-25T09:07:55.317265+00:00,35.01212259999011,0,29.0,23.06,1822425088.0,8585740288.0,6.0118840878867115,,ok
