global_step,algorithm,episode,raw_episode_return,episode_length,current_raw_episode_return,current_training_episode_return,epsilon,loss,q_mean,q_max,q_min,target_mean,target_max,td_error_mean_abs,td_error_max_abs,gradient_norm,replay_size,replay_capacity,replay_occupancy,steps_per_second,sps,optimizer_updates,optimizer_updated,target_sync_count,last_target_sync_step,raw_reward,training_reward,action,action_name,action_source,noop_count,fire_count,right_count,left_count,random_decision_count,greedy_decision_count,random_decision_ratio,environment_index,vector_iteration,num_envs,transition_batch_size,environment_transitions_per_second,vector_iterations_per_second,action_inference_batch_size,replay_insert_batch_size,action_inference_batches_per_second,replay_insertion_calls_per_second,requested_action,requested_action_name,action_overridden,fire_reset_reason,fire_reset_auto_count
250,dqn,1,0.0,125,0.0,0.0,0.878835,,,,,,,,,,250,10000,0.025,348.77193214547987,348.77193214547987,0,False,1,0,0.0,0.0,0,NOOP,random,74,54,62,60,237,13,0.948,1,125,2,2,348.77193214547987,174.38596607273993,2,2,,,0,NOOP,False,,
433,dqn,2,2.0,217,0.0,0.0,0.86328,,,,,,,,,,434,10000,0.0434,447.36825821499804,447.36825821499804,0,False,1,0,0.0,0.0,1,FIRE,random,129,102,100,103,399,35,0.9193548387096774,0,217,2,2,447.36825821499804,223.68412910749902,2,2,,,1,FIRE,False,,
656,dqn,3,2.0,203,0.0,0.0,0.844325,,,,,,,,,,656,10000,0.0656,519.2896308033589,519.2896308033589,0,False,2,500,0.0,0.0,2,RIGHT,random,203,159,154,140,590,66,0.899390243902439,1,328,2,2,519.2896308033589,259.64481540167947,2,2,,,2,RIGHT,False,,
681,dqn,4,0.0,124,0.0,0.0,0.8422000000000001,,,,,,,,,,682,10000,0.0682,523.443515343402,523.443515343402,0,False,2,500,0.0,0.0,0,NOOP,random,213,166,158,145,613,69,0.8988269794721407,0,341,2,2,523.443515343402,261.721757671701,2,2,,,0,NOOP,False,,
904,dqn,5,0.0,124,0.0,0.0,0.823245,,,,,,,,,,904,10000,0.0904,566.3294938774844,566.3294938774844,0,False,2,500,0.0,0.0,0,NOOP,greedy,295,225,199,185,798,106,0.8827433628318584,1,452,2,2,566.3294938774844,283.1647469387422,2,2,,,0,NOOP,False,,
1021,dqn,6,1.0,170,0.0,0.0,0.8133,,,,,,,,,,1022,10000,0.1022,493.55309548733555,493.55309548733555,6,False,3,1000,0.0,0.0,3,LEFT,greedy,336,249,223,214,890,132,0.8708414872798435,0,511,2,2,493.55309548733555,246.77654774366778,2,2,,,3,LEFT,False,,
1323,dqn,7,1.0,151,0.0,0.0,0.78763,,,,,,,,,,1324,10000,0.1324,480.8058945796223,480.8058945796223,82,True,3,1000,0.0,0.0,0,NOOP,random,398,323,301,302,1134,190,0.8564954682779456,0,662,2,2,480.8058945796223,240.40294728981115,2,2,,,0,NOOP,False,,
1395,dqn,7,,,0.0,0.0,0.78151,5.1450599130475894e-05,0.03404110670089722,0.0553499273955822,0.024080362170934677,0.02596535161137581,0.02751096896827221,0.005608605686575174,0.028554871678352356,0.0037111486308276653,1396,10000,0.1396,478.1804807941397,478.1804807941397,100,True,3,1000,0.0,0.0,2,RIGHT,greedy,411,345,318,322,1195,201,0.8560171919770774,0,698,2,2,478.1804807941397,239.09024039706986,2,2,,,2,RIGHT,False,,
1396,dqn,7,,,3.0,3.0,0.781425,5.1450599130475894e-05,0.03404110670089722,0.0553499273955822,0.024080362170934677,0.02596535161137581,0.02751096896827221,0.005608605686575174,0.028554871678352356,0.0037111486308276653,1396,10000,0.1396,478.170391289535,478.170391289535,100,True,3,1000,0.0,0.0,1,FIRE,random,411,345,318,322,1195,201,0.8560171919770774,1,698,2,2,478.170391289535,239.0851956447675,2,2,,,1,FIRE,False,,
1536,dqn,8,4.0,316,0.0,0.0,0.769525,,,,,,,,,,1536,10000,0.1536,469.7676387242421,469.7676387242421,135,True,4,1500,0.0,0.0,3,LEFT,random,453,382,350,351,1298,238,0.8450520833333334,1,768,2,2,469.7676387242421,234.88381936212105,2,2,,,3,LEFT,False,,
