global_step,algorithm,architecture,episode,raw_episode_return,episode_length,current_raw_episode_return,current_training_episode_return,epsilon,loss,q_mean,q_max,q_min,target_mean,target_max,td_error_mean_abs,td_error_max_abs,gradient_norm,replay_size,replay_capacity,replay_occupancy,steps_per_second,sps,optimizer_updates,optimizer_updated,target_sync_count,last_target_sync_step,raw_reward,training_reward,action,action_name,action_source,noop_count,fire_count,right_count,left_count,random_decision_count,greedy_decision_count,random_decision_ratio,environment_index,vector_iteration,num_envs,transition_batch_size,environment_transitions_per_second,vector_iterations_per_second,action_inference_batch_size,replay_insert_batch_size,action_inference_batches_per_second,action_inference_transitions_per_second,replay_insertion_calls_per_second,replay_insertion_transitions_per_second,optimizer_updates_per_second,training_samples_per_second,requested_action,requested_action_name,action_overridden,fire_reset_reason,fire_reset_auto_count
250974,double_dqn,dueling,785,17.0,699,0.0,0.0,0.05,,,,,,,,,,974,10000,0.0974,445.1203001831431,445.1203001831431,62001,False,502,250500,0.0,0.0,3,LEFT,greedy,39308,56481,67273,87912,16750,234224,0.06673998103389196,1,125487,2,2,445.1203001831431,222.56015009157156,2,2,222.56015009157156,445.1203001831431,222.56015009157156,445.1203001831431,0.0,0.0,3,LEFT,False,,
251057,double_dqn,dueling,786,16.0,656,0.0,0.0,0.05,,,,,,,,,,1058,10000,0.1058,430.5767966983779,430.5767966983779,62015,False,503,251000,0.0,0.0,1,FIRE,greedy,39335,56502,67284,87937,16756,234302,0.06674154976140971,0,125529,2,2,430.5767966983779,215.28839834918895,2,2,215.28839834918895,430.5767966983779,215.28839834918895,430.5767966983779,5.69761356689725,182.323634140712,1,FIRE,False,,
251395,double_dqn,dueling,786,,,2.0,2.0,0.05,0.0035394257865846157,2.25502347946167,3.1154050827026367,0.7903819680213928,2.2783737182617188,3.059194326400757,0.05845358222723007,0.2346663475036621,0.23487673699855804,1396,10000,0.1396,376.5995194697076,376.5995194697076,62100,True,503,251000,0.0,0.0,1,FIRE,greedy,39421,56557,67359,88059,16772,234624,0.06671546086652134,0,125698,2,2,376.5995194697076,188.2997597348538,2,2,188.2997597348538,376.5995194697076,188.2997597348538,376.5995194697076,26.707272512536573,854.6327204011703,1,FIRE,False,,
251396,double_dqn,dueling,786,,,4.0,4.0,0.05,0.0035394257865846157,2.25502347946167,3.1154050827026367,0.7903819680213928,2.2783737182617188,3.059194326400757,0.05845358222723007,0.2346663475036621,0.23487673699855804,1396,10000,0.1396,376.58628205820696,376.58628205820696,62100,True,503,251000,0.0,0.0,0,NOOP,greedy,39421,56557,67359,88059,16772,234624,0.06671546086652134,1,125698,2,2,376.58628205820696,188.29314102910348,2,2,188.29314102910348,376.58628205820696,188.29314102910348,376.58628205820696,26.70633375627685,854.6026802008593,0,NOOP,False,,
251795,double_dqn,dueling,786,,,10.0,7.0,0.05,0.0009883771417662501,1.9949111938476562,2.640427827835083,0.9449360966682434,2.000917673110962,2.6173462867736816,0.03481671214103699,0.14278161525726318,0.12411393225193024,1796,10000,0.1796,346.3171609294962,346.3171609294962,62200,True,504,251500,1.0,1.0,3,LEFT,greedy,39512,56583,67471,88230,16792,235004,0.06668890689288154,0,125898,2,2,346.3171609294962,173.1585804647481,2,2,173.1585804647481,346.3171609294962,173.1585804647481,346.3171609294962,38.37255847715465,1227.9218712689487,3,LEFT,False,,
251796,double_dqn,dueling,786,,,9.0,9.0,0.05,0.0009883771417662501,1.9949111938476562,2.640427827835083,0.9449360966682434,2.000917673110962,2.6173462867736816,0.03481671214103699,0.14278161525726318,0.12411393225193024,1796,10000,0.1796,346.3074915491791,346.3074915491791,62200,True,504,251500,0.0,0.0,3,LEFT,greedy,39512,56583,67471,88230,16792,235004,0.06668890689288154,1,125898,2,2,346.3074915491791,173.15374577458954,2,2,173.15374577458954,346.3074915491791,173.15374577458954,346.3074915491791,38.371487092587216,1227.887586962791,3,LEFT,False,,
251986,double_dqn,dueling,787,14.0,506,0.0,0.0,0.05,,,,,,,,,,1986,10000,0.1986,334.8525737372071,334.8525737372071,62247,False,504,251500,0.0,0.0,3,LEFT,greedy,39536,56595,67542,88313,16801,235185,0.06667433905058218,1,125993,2,2,334.8525737372071,167.42628686860354,2,2,167.42628686860354,334.8525737372071,167.42628686860354,334.8525737372071,41.47720701880813,1327.2706246018602,3,LEFT,False,,
252139,double_dqn,dueling,788,13.0,541,0.0,0.0,0.05,,,,,,,,,,2140,10000,0.214,330.47730930230404,330.47730930230404,62286,True,505,252000,0.0,0.0,3,LEFT,greedy,39562,56623,67585,88370,16806,235334,0.06665344649797732,0,126070,2,2,330.47730930230404,165.23865465115202,2,2,165.23865465115202,330.47730930230404,165.23865465115202,330.47730930230404,44.01216502390498,1408.3892807649593,3,LEFT,False,,
252195,double_dqn,dueling,788,,,0.0,0.0,0.05,0.0009891415247693658,1.916297197341919,2.9106874465942383,0.9297193884849548,1.9545252323150635,2.868595838546753,0.03769537806510925,0.08371233940124512,0.19111694395542145,2196,10000,0.2196,327.2285782372824,327.2285782372824,62300,True,505,252000,0.0,0.0,1,FIRE,greedy,39572,56638,67600,88386,16809,235387,0.06665054164221479,0,126098,2,2,327.2285782372824,163.6142891186412,2,2,163.6142891186412,327.2285782372824,163.6142891186412,327.2285782372824,44.554346490413224,1425.7390876932232,1,FIRE,False,,
252196,double_dqn,dueling,788,,,1.0,1.0,0.05,0.0009891415247693658,1.916297197341919,2.9106874465942383,0.9297193884849548,1.9545252323150635,2.868595838546753,0.03769537806510925,0.08371233940124512,0.19111694395542145,2196,10000,0.2196,327.2240874420872,327.2240874420872,62300,True,505,252000,0.0,0.0,0,NOOP,greedy,39572,56638,67600,88386,16809,235387,0.06665054164221479,1,126098,2,2,327.2240874420872,163.6120437210436,2,2,163.6120437210436,327.2240874420872,163.6120437210436,327.2240874420872,44.55373503879056,1425.719521241298,0,NOOP,False,,
