global_step,episode,raw_episode_return,episode_length,current_raw_episode_return,current_training_episode_return,epsilon,loss,q_mean,q_max,target_mean,gradient_norm,replay_size,steps_per_second,sps,optimizer_updates,optimizer_updated,target_sync_count,last_target_sync_step,raw_reward,training_reward,action_source
48,0,,,0.0,0.0,0.86005,0.0002524006995372474,0.04135033115744591,0.05545204132795334,0.028751352801918983,0.02422880195081234,48,169.92287274943433,169.92287274943433,5,True,1,0,0.0,0.0,greedy
49,0,,,0.0,0.0,0.8592,,,,,,49,171.74229405399512,171.74229405399512,5,False,1,0,0.0,0.0,random
50,0,,,0.0,0.0,0.8583500000000001,,,,,,50,174.02569109098144,174.02569109098144,5,False,1,0,0.0,0.0,greedy
51,0,,,0.0,0.0,0.8575,,,,,,51,176.41320815638008,176.41320815638008,5,False,1,0,0.0,0.0,random
52,0,,,0.0,0.0,0.85665,0.00011905955034308136,0.028734851628541946,0.05348030850291252,0.028697548434138298,0.010202069766819477,52,169.91470607245776,169.91470607245776,6,True,1,0,0.0,0.0,random
53,0,,,0.0,0.0,0.8558,,,,,,53,171.5994493382361,171.5994493382361,6,False,1,0,0.0,0.0,random
54,0,,,0.0,0.0,0.85495,,,,,,54,173.2175513180471,173.2175513180471,6,False,1,0,0.0,0.0,random
55,0,,,0.0,0.0,0.8541000000000001,,,,,,55,175.06791044528262,175.06791044528262,6,False,1,0,0.0,0.0,random
56,0,,,0.0,0.0,0.8532500000000001,5.981846334179863e-05,0.032504353672266006,0.04920700937509537,0.028731783851981163,0.00734300771728158,56,166.3199193402272,166.3199193402272,7,True,1,0,0.0,0.0,random
57,0,,,0.0,0.0,0.8524,,,,,,57,167.8422494947975,167.8422494947975,7,False,1,0,0.0,0.0,random
58,0,,,0.0,0.0,0.85155,,,,,,58,169.60333873744207,169.60333873744207,7,False,1,0,0.0,0.0,greedy
59,0,,,0.0,0.0,0.8507,,,,,,59,171.18130771083835,171.18130771083835,7,False,1,0,0.0,0.0,random
60,0,,,0.0,0.0,0.84985,3.677065251395106e-05,0.03127768635749817,0.04402053728699684,0.028733497485518456,0.005804984364658594,60,161.13758841222753,161.13758841222753,8,True,1,0,0.0,0.0,random
61,0,,,0.0,0.0,0.849,,,,,,61,162.57991402009694,162.57991402009694,8,False,1,0,0.0,0.0,random
62,0,,,0.0,0.0,0.8481500000000001,,,,,,62,163.77069883151373,163.77069883151373,8,False,1,0,0.0,0.0,random
63,0,,,0.0,0.0,0.8473,,,,,,63,165.12354778337533,165.12354778337533,8,False,1,0,0.0,0.0,random
64,0,,,0.0,0.0,0.84645,3.3402124245185405e-05,0.03487677872180939,0.04026667773723602,0.02872438356280327,0.006520627532154322,64,157.738852966289,157.738852966289,9,True,1,0,0.0,0.0,random
65,0,,,0.0,0.0,0.8456,,,,,,65,159.0121091352919,159.0121091352919,9,False,1,0,0.0,0.0,greedy
66,0,,,0.0,0.0,0.84475,,,,,,66,160.3042477653044,160.3042477653044,9,False,1,0,0.0,0.0,random
67,0,,,0.0,0.0,0.8439,,,,,,67,161.61000227204283,161.61000227204283,9,False,1,0,0.0,0.0,random
68,0,,,0.0,0.0,0.8430500000000001,2.6758178137242794e-05,0.034681111574172974,0.04232189804315567,0.02882855199277401,0.005746405106037855,68,157.01461644689408,157.01461644689408,10,True,1,0,0.0,0.0,random
69,0,,,0.0,0.0,0.8422000000000001,,,,,,69,158.6414042209265,158.6414042209265,10,False,1,0,0.0,0.0,random
70,0,,,0.0,0.0,0.84135,,,,,,70,160.32897672484415,160.32897672484415,10,False,1,0,0.0,0.0,random
71,0,,,0.0,0.0,0.8405,,,,,,71,161.9452036662051,161.9452036662051,10,False,1,0,0.0,0.0,greedy
72,0,,,0.0,0.0,0.83965,2.924158616224304e-05,0.03339727967977524,0.042844489216804504,0.028752943500876427,0.005244006868451834,72,158.61252809571909,158.61252809571909,11,True,1,0,0.0,0.0,greedy
73,0,,,0.0,0.0,0.8388,,,,,,73,159.93826821367202,159.93826821367202,11,False,1,0,0.0,0.0,random
74,0,,,0.0,0.0,0.83795,,,,,,74,161.39011853422372,161.39011853422372,11,False,1,0,0.0,0.0,random
75,0,,,0.0,0.0,0.8371000000000001,,,,,,75,162.86185188161394,162.86185188161394,11,False,1,0,0.0,0.0,random
76,0,,,0.0,0.0,0.83625,3.228225250495598e-05,0.027667075395584106,0.04161735624074936,0.028800074011087418,0.006415632087737322,76,159.45111890556578,159.45111890556578,12,True,1,0,0.0,0.0,random
77,0,,,0.0,0.0,0.8354,,,,,,77,160.87391727658192,160.87391727658192,12,False,1,0,0.0,0.0,random
78,0,,,0.0,0.0,0.83455,,,,,,78,162.37470085319822,162.37470085319822,12,False,1,0,0.0,0.0,greedy
79,0,,,0.0,0.0,0.8337,,,,,,79,163.8969465663466,163.8969465663466,12,False,1,0,0.0,0.0,random
80,0,,,0.0,0.0,0.83285,3.99985583499074e-05,0.03154619410634041,0.04070606082677841,0.028780551627278328,0.006506144069135189,80,160.64511868004018,160.64511868004018,13,True,1,0,0.0,0.0,random
81,0,,,0.0,0.0,0.8320000000000001,,,,,,81,162.00038880389366,162.00038880389366,13,False,1,0,0.0,0.0,random
