timestamp_utc,elapsed_seconds,gpu_index,gpu_utilization_percent,gpu_power_watts,gpu_memory_used_bytes,gpu_memory_total_bytes,process_cpu_percent,process_rss_bytes,sample_status
2026-08-28T10:34:12.429580+00:00,0.0008960000704973936,0,0.0,18.67,1694498816.0,8585740288.0,0.0,,ok
2026-08-28T10:34:13.429923+00:00,1.0012682999949902,0,0.0,18.57,1793064960.0,8585740288.0,7.028633240375321,,ok
2026-08-28T10:34:14.443133+00:00,2.014430599985644,0,7.0,19.88,2405433344.0,8585740288.0,9.927919495319543,,ok
2026-08-28T10:34:15.437126+00:00,3.008531899889931,0,5.0,19.69,2405433344.0,8585740288.0,11.59181413514849,,ok
2026-08-28T10:34:16.435141+00:00,4.006429499946535,0,18.0,24.57,2466250752.0,8585740288.0,10.960543445920298,,ok
2026-08-28T10:34:17.430128+00:00,5.001387000083923,0,17.0,24.45,2468347904.0,8585740288.0,11.483687743870739,,ok
2026-08-28T10:34:18.444126+00:00,6.015408899867907,0,17.0,24.3,2468347904.0,8585740288.0,11.653008926648663,,ok
2026-08-28T10:34:19.440125+00:00,7.01146709988825,0,19.0,24.88,2468347904.0,8585740288.0,11.470997628217553,,ok
2026-08-28T10:34:20.435140+00:00,8.006386399967596,0,16.0,23.83,2468347904.0,8585740288.0,11.18966382410327,,ok
2026-08-28T10:34:21.429140+00:00,9.00079010007903,0,18.0,24.27,2468347904.0,8585740288.0,12.177524076633073,,ok
2026-08-28T10:34:22.440125+00:00,10.011425199918449,0,17.0,24.29,2468347904.0,8585740288.0,11.305545643343926,,ok
2026-08-28T10:34:23.435141+00:00,11.006442300044,0,17.0,25.14,2468347904.0,8585740288.0,11.090418695927521,,ok
2026-08-28T10:34:24.429126+00:00,12.00037860008888,0,17.0,24.18,2468347904.0,8585740288.0,12.08499855519678,,ok
2026-08-28T10:34:25.441127+00:00,13.012419099919498,0,18.0,24.65,2468347904.0,8585740288.0,11.675823499136317,,ok
2026-08-28T10:34:26.434128+00:00,14.00537859997712,0,17.0,23.96,2468347904.0,8585740288.0,11.605143512229128,,ok
2026-08-28T10:34:27.443125+00:00,15.01442030002363,0,19.0,25.71,2468347904.0,8585740288.0,11.807304395299866,,ok
2026-08-28T10:34:28.439128+00:00,16.010886499891058,0,20.0,24.95,2468347904.0,8585740288.0,11.564303437018847,,ok
2026-08-28T10:34:29.433125+00:00,17.004974199924618,0,18.0,24.24,2468347904.0,8585740288.0,11.984920947716967,,ok
2026-08-28T10:34:30.444125+00:00,18.015500699868426,0,18.0,24.66,2468347904.0,8585740288.0,11.886594513521352,,ok
2026-08-28T10:34:31.437126+00:00,19.00841009989381,0,18.0,24.05,2468347904.0,8585740288.0,11.015607264590702,,ok
2026-08-28T10:34:32.431140+00:00,20.002434100024402,0,15.0,27.39,2468347904.0,8585740288.0,11.690958918973015,,ok
2026-08-28T10:34:33.442126+00:00,21.01346779987216,0,17.0,24.37,2468347904.0,8585740288.0,11.49426943112768,,ok
2026-08-28T10:34:34.435128+00:00,22.006492000073195,0,14.0,23.86,2468347904.0,8585740288.0,10.915991521460915,,ok
