schema_version,policy_type,action_distribution_semantics,evaluation_seed,seed_index,episode_index,episode_seed,episode_return,episode_length,terminated,truncated,time_limit,time_limit_source,complete,stop_reason,action_noop,action_fire,action_right,action_left,action_distribution_json,requested_action_noop,requested_action_fire,requested_action_right,requested_action_left,executed_action_noop,executed_action_fire,executed_action_right,executed_action_left,requested_action_distribution_json,executed_action_distribution_json,auto_fire_count,auto_fire_reason_counts_json
2,dqn,executed/wrapper-resolved action,101,0,1,101,15.0,635,True,False,False,,True,terminated,150,217,115,153,"{""FIRE"": 217, ""LEFT"": 153, ""NOOP"": 150, ""RIGHT"": 115}",152,211,117,155,150,217,115,153,"{""FIRE"": 211, ""LEFT"": 155, ""NOOP"": 152, ""RIGHT"": 117}","{""FIRE"": 217, ""LEFT"": 153, ""NOOP"": 150, ""RIGHT"": 115}",11,"{""after_life_loss"": 8, ""initial_serve"": 3}"
2,dqn,executed/wrapper-resolved action,101,0,2,102,11.0,476,True,False,False,,True,terminated,143,184,67,82,"{""FIRE"": 184, ""LEFT"": 82, ""NOOP"": 143, ""RIGHT"": 67}",144,178,70,84,143,184,67,82,"{""FIRE"": 178, ""LEFT"": 84, ""NOOP"": 144, ""RIGHT"": 70}","{""FIRE"": 184, ""LEFT"": 82, ""NOOP"": 143, ""RIGHT"": 67}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,101,0,3,103,26.0,795,True,False,False,,True,terminated,333,195,112,155,"{""FIRE"": 195, ""LEFT"": 155, ""NOOP"": 333, ""RIGHT"": 112}",337,188,114,156,333,195,112,155,"{""FIRE"": 188, ""LEFT"": 156, ""NOOP"": 337, ""RIGHT"": 114}","{""FIRE"": 195, ""LEFT"": 155, ""NOOP"": 333, ""RIGHT"": 112}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,101,0,4,104,28.0,1026,True,False,False,,True,terminated,275,386,193,172,"{""FIRE"": 386, ""LEFT"": 172, ""NOOP"": 275, ""RIGHT"": 193}",276,378,197,175,275,386,193,172,"{""FIRE"": 378, ""LEFT"": 175, ""NOOP"": 276, ""RIGHT"": 197}","{""FIRE"": 386, ""LEFT"": 172, ""NOOP"": 275, ""RIGHT"": 193}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,101,0,5,105,14.0,631,True,False,False,,True,terminated,132,209,158,132,"{""FIRE"": 209, ""LEFT"": 132, ""NOOP"": 132, ""RIGHT"": 158}",132,200,159,140,132,209,158,132,"{""FIRE"": 200, ""LEFT"": 140, ""NOOP"": 132, ""RIGHT"": 159}","{""FIRE"": 209, ""LEFT"": 132, ""NOOP"": 132, ""RIGHT"": 158}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,202,1,1,202,27.0,895,True,False,False,,True,terminated,264,337,138,156,"{""FIRE"": 337, ""LEFT"": 156, ""NOOP"": 264, ""RIGHT"": 138}",265,328,144,158,264,337,138,156,"{""FIRE"": 328, ""LEFT"": 158, ""NOOP"": 265, ""RIGHT"": 144}","{""FIRE"": 337, ""LEFT"": 156, ""NOOP"": 264, ""RIGHT"": 138}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,202,1,2,203,19.0,769,True,False,False,,True,terminated,214,267,135,153,"{""FIRE"": 267, ""LEFT"": 153, ""NOOP"": 214, ""RIGHT"": 135}",215,259,136,159,214,267,135,153,"{""FIRE"": 259, ""LEFT"": 159, ""NOOP"": 215, ""RIGHT"": 136}","{""FIRE"": 267, ""LEFT"": 153, ""NOOP"": 214, ""RIGHT"": 135}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,202,1,3,204,15.0,657,True,False,False,,True,terminated,156,258,119,124,"{""FIRE"": 258, ""LEFT"": 124, ""NOOP"": 156, ""RIGHT"": 119}",156,251,119,131,156,258,119,124,"{""FIRE"": 251, ""LEFT"": 131, ""NOOP"": 156, ""RIGHT"": 119}","{""FIRE"": 258, ""LEFT"": 124, ""NOOP"": 156, ""RIGHT"": 119}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,202,1,4,205,25.0,854,True,False,False,,True,terminated,270,255,142,187,"{""FIRE"": 255, ""LEFT"": 187, ""NOOP"": 270, ""RIGHT"": 142}",273,247,142,192,270,255,142,187,"{""FIRE"": 247, ""LEFT"": 192, ""NOOP"": 273, ""RIGHT"": 142}","{""FIRE"": 255, ""LEFT"": 187, ""NOOP"": 270, ""RIGHT"": 142}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,202,1,5,206,27.0,749,True,False,False,,True,terminated,193,277,133,146,"{""FIRE"": 277, ""LEFT"": 146, ""NOOP"": 193, ""RIGHT"": 133}",195,272,136,146,193,277,133,146,"{""FIRE"": 272, ""LEFT"": 146, ""NOOP"": 195, ""RIGHT"": 136}","{""FIRE"": 277, ""LEFT"": 146, ""NOOP"": 193, ""RIGHT"": 133}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
