schema_version,policy_type,action_distribution_semantics,evaluation_seed,seed_index,episode_index,episode_seed,episode_return,episode_length,terminated,truncated,time_limit,time_limit_source,complete,stop_reason,action_noop,action_fire,action_right,action_left,action_distribution_json,requested_action_noop,requested_action_fire,requested_action_right,requested_action_left,executed_action_noop,executed_action_fire,executed_action_right,executed_action_left,requested_action_distribution_json,executed_action_distribution_json,auto_fire_count,auto_fire_reason_counts_json
2,dqn,executed/wrapper-resolved action,101,0,1,101,16.0,527,True,False,False,,True,terminated,59,311,75,82,"{""FIRE"": 311, ""LEFT"": 82, ""NOOP"": 59, ""RIGHT"": 75}",59,309,75,84,59,311,75,82,"{""FIRE"": 309, ""LEFT"": 84, ""NOOP"": 59, ""RIGHT"": 75}","{""FIRE"": 311, ""LEFT"": 82, ""NOOP"": 59, ""RIGHT"": 75}",11,"{""after_life_loss"": 8, ""initial_serve"": 3}"
2,dqn,executed/wrapper-resolved action,101,0,2,102,18.0,692,True,False,False,,True,terminated,202,331,81,78,"{""FIRE"": 331, ""LEFT"": 78, ""NOOP"": 202, ""RIGHT"": 81}",203,327,81,81,202,331,81,78,"{""FIRE"": 327, ""LEFT"": 81, ""NOOP"": 203, ""RIGHT"": 81}","{""FIRE"": 331, ""LEFT"": 78, ""NOOP"": 202, ""RIGHT"": 81}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,101,0,3,103,11.0,523,True,False,False,,True,terminated,56,277,118,72,"{""FIRE"": 277, ""LEFT"": 72, ""NOOP"": 56, ""RIGHT"": 118}",56,273,120,74,56,277,118,72,"{""FIRE"": 273, ""LEFT"": 74, ""NOOP"": 56, ""RIGHT"": 120}","{""FIRE"": 277, ""LEFT"": 72, ""NOOP"": 56, ""RIGHT"": 118}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,101,0,4,104,16.0,708,True,False,False,,True,terminated,169,270,109,160,"{""FIRE"": 270, ""LEFT"": 160, ""NOOP"": 169, ""RIGHT"": 109}",173,264,109,162,169,270,109,160,"{""FIRE"": 264, ""LEFT"": 162, ""NOOP"": 173, ""RIGHT"": 109}","{""FIRE"": 270, ""LEFT"": 160, ""NOOP"": 169, ""RIGHT"": 109}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,101,0,5,105,45.0,1214,True,False,False,,True,terminated,166,752,148,148,"{""FIRE"": 752, ""LEFT"": 148, ""NOOP"": 166, ""RIGHT"": 148}",167,747,149,151,166,752,148,148,"{""FIRE"": 747, ""LEFT"": 151, ""NOOP"": 167, ""RIGHT"": 149}","{""FIRE"": 752, ""LEFT"": 148, ""NOOP"": 166, ""RIGHT"": 148}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,202,1,1,202,26.0,970,True,False,False,,True,terminated,262,367,179,162,"{""FIRE"": 367, ""LEFT"": 162, ""NOOP"": 262, ""RIGHT"": 179}",266,361,180,163,262,367,179,162,"{""FIRE"": 361, ""LEFT"": 163, ""NOOP"": 266, ""RIGHT"": 180}","{""FIRE"": 367, ""LEFT"": 162, ""NOOP"": 262, ""RIGHT"": 179}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,202,1,2,203,18.0,669,True,False,False,,True,terminated,117,242,170,140,"{""FIRE"": 242, ""LEFT"": 140, ""NOOP"": 117, ""RIGHT"": 170}",119,237,171,142,117,242,170,140,"{""FIRE"": 237, ""LEFT"": 142, ""NOOP"": 119, ""RIGHT"": 171}","{""FIRE"": 242, ""LEFT"": 140, ""NOOP"": 117, ""RIGHT"": 170}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,202,1,3,204,16.0,664,True,False,False,,True,terminated,157,291,108,108,"{""FIRE"": 291, ""LEFT"": 108, ""NOOP"": 157, ""RIGHT"": 108}",161,284,108,111,157,291,108,108,"{""FIRE"": 284, ""LEFT"": 111, ""NOOP"": 161, ""RIGHT"": 108}","{""FIRE"": 291, ""LEFT"": 108, ""NOOP"": 157, ""RIGHT"": 108}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,202,1,4,205,16.0,658,True,False,False,,True,terminated,136,253,166,103,"{""FIRE"": 253, ""LEFT"": 103, ""NOOP"": 136, ""RIGHT"": 166}",137,248,167,106,136,253,166,103,"{""FIRE"": 248, ""LEFT"": 106, ""NOOP"": 137, ""RIGHT"": 167}","{""FIRE"": 253, ""LEFT"": 103, ""NOOP"": 136, ""RIGHT"": 166}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,202,1,5,206,13.0,606,True,False,False,,True,terminated,105,247,132,122,"{""FIRE"": 247, ""LEFT"": 122, ""NOOP"": 105, ""RIGHT"": 132}",107,242,133,124,105,247,132,122,"{""FIRE"": 242, ""LEFT"": 124, ""NOOP"": 107, ""RIGHT"": 133}","{""FIRE"": 247, ""LEFT"": 122, ""NOOP"": 105, ""RIGHT"": 132}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,303,2,1,303,11.0,491,True,False,False,,True,terminated,122,193,98,78,"{""FIRE"": 193, ""LEFT"": 78, ""NOOP"": 122, ""RIGHT"": 98}",123,185,100,83,122,193,98,78,"{""FIRE"": 185, ""LEFT"": 83, ""NOOP"": 123, ""RIGHT"": 100}","{""FIRE"": 193, ""LEFT"": 78, ""NOOP"": 122, ""RIGHT"": 98}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,303,2,2,304,14.0,616,True,False,False,,True,terminated,121,255,134,106,"{""FIRE"": 255, ""LEFT"": 106, ""NOOP"": 121, ""RIGHT"": 134}",124,251,134,107,121,255,134,106,"{""FIRE"": 251, ""LEFT"": 107, ""NOOP"": 124, ""RIGHT"": 134}","{""FIRE"": 255, ""LEFT"": 106, ""NOOP"": 121, ""RIGHT"": 134}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,303,2,3,305,24.0,957,True,False,False,,True,terminated,212,448,148,149,"{""FIRE"": 448, ""LEFT"": 149, ""NOOP"": 212, ""RIGHT"": 148}",212,444,150,151,212,448,148,149,"{""FIRE"": 444, ""LEFT"": 151, ""NOOP"": 212, ""RIGHT"": 150}","{""FIRE"": 448, ""LEFT"": 149, ""NOOP"": 212, ""RIGHT"": 148}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,303,2,4,306,20.0,722,True,False,False,,True,terminated,101,374,128,119,"{""FIRE"": 374, ""LEFT"": 119, ""NOOP"": 101, ""RIGHT"": 128}",102,369,131,120,101,374,128,119,"{""FIRE"": 369, ""LEFT"": 120, ""NOOP"": 102, ""RIGHT"": 131}","{""FIRE"": 374, ""LEFT"": 119, ""NOOP"": 101, ""RIGHT"": 128}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,303,2,5,307,28.0,1060,True,False,False,,True,terminated,223,476,185,176,"{""FIRE"": 476, ""LEFT"": 176, ""NOOP"": 223, ""RIGHT"": 185}",225,470,187,178,223,476,185,176,"{""FIRE"": 470, ""LEFT"": 178, ""NOOP"": 225, ""RIGHT"": 187}","{""FIRE"": 476, ""LEFT"": 176, ""NOOP"": 223, ""RIGHT"": 185}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
