schema_version,policy_type,action_distribution_semantics,evaluation_seed,seed_index,episode_index,episode_seed,episode_return,episode_length,terminated,truncated,time_limit,time_limit_source,complete,stop_reason,action_noop,action_fire,action_right,action_left,action_distribution_json,requested_action_noop,requested_action_fire,requested_action_right,requested_action_left,executed_action_noop,executed_action_fire,executed_action_right,executed_action_left,requested_action_distribution_json,executed_action_distribution_json,auto_fire_count,auto_fire_reason_counts_json
2,dqn,executed/wrapper-resolved action,101,0,1,101,4.0,282,True,False,False,,True,terminated,40,51,42,149,"{""FIRE"": 51, ""LEFT"": 149, ""NOOP"": 40, ""RIGHT"": 42}",42,42,42,156,40,51,42,149,"{""FIRE"": 42, ""LEFT"": 156, ""NOOP"": 42, ""RIGHT"": 42}","{""FIRE"": 51, ""LEFT"": 149, ""NOOP"": 40, ""RIGHT"": 42}",11,"{""after_life_loss"": 8, ""initial_serve"": 3}"
2,dqn,executed/wrapper-resolved action,101,0,2,102,6.0,345,True,False,False,,True,terminated,56,73,71,145,"{""FIRE"": 73, ""LEFT"": 145, ""NOOP"": 56, ""RIGHT"": 71}",56,66,71,152,56,73,71,145,"{""FIRE"": 66, ""LEFT"": 152, ""NOOP"": 56, ""RIGHT"": 71}","{""FIRE"": 73, ""LEFT"": 145, ""NOOP"": 56, ""RIGHT"": 71}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,101,0,3,103,4.0,262,True,False,False,,True,terminated,23,57,61,121,"{""FIRE"": 57, ""LEFT"": 121, ""NOOP"": 23, ""RIGHT"": 61}",23,49,61,129,23,57,61,121,"{""FIRE"": 49, ""LEFT"": 129, ""NOOP"": 23, ""RIGHT"": 61}","{""FIRE"": 57, ""LEFT"": 121, ""NOOP"": 23, ""RIGHT"": 61}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,101,0,4,104,8.0,403,True,False,False,,True,terminated,60,103,72,168,"{""FIRE"": 103, ""LEFT"": 168, ""NOOP"": 60, ""RIGHT"": 72}",60,95,75,173,60,103,72,168,"{""FIRE"": 95, ""LEFT"": 173, ""NOOP"": 60, ""RIGHT"": 75}","{""FIRE"": 103, ""LEFT"": 168, ""NOOP"": 60, ""RIGHT"": 72}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,101,0,5,105,10.0,483,True,False,False,,True,terminated,33,115,93,242,"{""FIRE"": 115, ""LEFT"": 242, ""NOOP"": 33, ""RIGHT"": 93}",33,107,95,248,33,115,93,242,"{""FIRE"": 107, ""LEFT"": 248, ""NOOP"": 33, ""RIGHT"": 95}","{""FIRE"": 115, ""LEFT"": 242, ""NOOP"": 33, ""RIGHT"": 93}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,202,1,1,202,15.0,591,True,False,False,,True,terminated,30,151,175,235,"{""FIRE"": 151, ""LEFT"": 235, ""NOOP"": 30, ""RIGHT"": 175}",30,144,175,242,30,151,175,235,"{""FIRE"": 144, ""LEFT"": 242, ""NOOP"": 30, ""RIGHT"": 175}","{""FIRE"": 151, ""LEFT"": 235, ""NOOP"": 30, ""RIGHT"": 175}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,202,1,2,203,9.0,461,True,False,False,,True,terminated,34,146,126,155,"{""FIRE"": 146, ""LEFT"": 155, ""NOOP"": 34, ""RIGHT"": 126}",34,138,128,161,34,146,126,155,"{""FIRE"": 138, ""LEFT"": 161, ""NOOP"": 34, ""RIGHT"": 128}","{""FIRE"": 146, ""LEFT"": 155, ""NOOP"": 34, ""RIGHT"": 126}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,202,1,3,204,8.0,384,True,False,False,,True,terminated,132,101,46,105,"{""FIRE"": 101, ""LEFT"": 105, ""NOOP"": 132, ""RIGHT"": 46}",135,93,48,108,132,101,46,105,"{""FIRE"": 93, ""LEFT"": 108, ""NOOP"": 135, ""RIGHT"": 48}","{""FIRE"": 101, ""LEFT"": 105, ""NOOP"": 132, ""RIGHT"": 46}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,202,1,4,205,8.0,439,True,False,False,,True,terminated,81,101,80,177,"{""FIRE"": 101, ""LEFT"": 177, ""NOOP"": 81, ""RIGHT"": 80}",81,94,82,182,81,101,80,177,"{""FIRE"": 94, ""LEFT"": 182, ""NOOP"": 81, ""RIGHT"": 82}","{""FIRE"": 101, ""LEFT"": 177, ""NOOP"": 81, ""RIGHT"": 80}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,202,1,5,206,7.0,428,True,False,False,,True,terminated,17,126,108,177,"{""FIRE"": 126, ""LEFT"": 177, ""NOOP"": 17, ""RIGHT"": 108}",17,117,108,186,17,126,108,177,"{""FIRE"": 117, ""LEFT"": 186, ""NOOP"": 17, ""RIGHT"": 108}","{""FIRE"": 126, ""LEFT"": 177, ""NOOP"": 17, ""RIGHT"": 108}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,303,2,1,303,7.0,378,True,False,False,,True,terminated,79,80,69,150,"{""FIRE"": 80, ""LEFT"": 150, ""NOOP"": 79, ""RIGHT"": 69}",79,73,69,157,79,80,69,150,"{""FIRE"": 73, ""LEFT"": 157, ""NOOP"": 79, ""RIGHT"": 69}","{""FIRE"": 80, ""LEFT"": 150, ""NOOP"": 79, ""RIGHT"": 69}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,303,2,2,304,7.0,395,True,False,False,,True,terminated,54,106,88,147,"{""FIRE"": 106, ""LEFT"": 147, ""NOOP"": 54, ""RIGHT"": 88}",54,100,88,153,54,106,88,147,"{""FIRE"": 100, ""LEFT"": 153, ""NOOP"": 54, ""RIGHT"": 88}","{""FIRE"": 106, ""LEFT"": 147, ""NOOP"": 54, ""RIGHT"": 88}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,303,2,3,305,4.0,296,True,False,False,,True,terminated,40,79,67,110,"{""FIRE"": 79, ""LEFT"": 110, ""NOOP"": 40, ""RIGHT"": 67}",40,71,68,117,40,79,67,110,"{""FIRE"": 71, ""LEFT"": 117, ""NOOP"": 40, ""RIGHT"": 68}","{""FIRE"": 79, ""LEFT"": 110, ""NOOP"": 40, ""RIGHT"": 67}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
