timestamp_utc,elapsed_seconds,gpu_index,gpu_utilization_percent,gpu_power_watts,gpu_memory_used_bytes,gpu_memory_total_bytes,process_cpu_percent,process_rss_bytes,sample_status
2026-08-25T09:05:06.685030+00:00,0.0013565999688580632,0,13.0,23.47,1852833792.0,8585740288.0,0.0,,ok
2026-08-25T09:05:07.693576+00:00,1.0101648999843746,0,21.0,24.84,1838153728.0,8585740288.0,5.227393053684123,,ok
2026-08-25T09:05:08.689525+00:00,2.005809499998577,0,24.0,25.04,1842348032.0,8585740288.0,5.885006557476854,,ok
2026-08-25T09:05:09.686499+00:00,3.0028181999223307,0,35.0,26.92,1863319552.0,8585740288.0,5.779005489561554,,ok
2026-08-25T09:05:10.686032+00:00,4.002430799999274,0,35.0,28.63,1865416704.0,8585740288.0,5.666257607761264,,ok
2026-08-25T09:05:11.696809+00:00,5.013026500004344,0,33.0,26.69,1888485376.0,8585740288.0,5.701309386108706,,ok
2026-08-25T09:05:12.691519+00:00,6.007959799957462,0,31.0,27.91,1882193920.0,8585740288.0,5.59475318623097,,ok
2026-08-25T09:05:13.686395+00:00,7.00262089993339,0,34.0,27.8,1880096768.0,8585740288.0,5.792645103080272,,ok
2026-08-25T09:05:14.687028+00:00,8.003202199935913,0,27.0,26.55,1877999616.0,8585740288.0,6.051169954889957,,ok
2026-08-25T09:05:15.684647+00:00,9.000794299994595,0,30.0,23.59,1890582528.0,8585740288.0,5.873517843270139,,ok
2026-08-25T09:05:16.691615+00:00,10.007844800013117,0,31.0,27.25,1905262592.0,8585740288.0,6.109270339359192,,ok
2026-08-25T09:05:17.690815+00:00,11.007013399968855,0,29.0,23.81,1933574144.0,8585740288.0,5.961988047126273,,ok
2026-08-25T09:05:18.698934+00:00,12.015176099957898,0,32.0,24.32,1930428416.0,8585740288.0,5.811933926997775,,ok
2026-08-25T09:05:19.688637+00:00,13.00514669995755,0,31.0,27.4,1930428416.0,8585740288.0,5.228217130894416,,ok
2026-08-25T09:05:20.688703+00:00,14.005035999929532,0,36.0,27.66,1881145344.0,8585740288.0,5.76235664304183,,ok
