global_step,algorithm,architecture,episode,raw_episode_return,episode_length,current_raw_episode_return,current_training_episode_return,epsilon,loss,q_mean,q_max,q_min,target_mean,target_max,td_error_mean_abs,td_error_max_abs,gradient_norm,replay_size,replay_capacity,replay_occupancy,steps_per_second,sps,optimizer_updates,optimizer_updated,target_sync_count,last_target_sync_step,raw_reward,training_reward,action,action_name,action_source,noop_count,fire_count,right_count,left_count,random_decision_count,greedy_decision_count,random_decision_ratio,environment_index,vector_iteration,num_envs,transition_batch_size,environment_transitions_per_second,vector_iterations_per_second,action_inference_batch_size,replay_insert_batch_size,action_inference_batches_per_second,action_inference_transitions_per_second,replay_insertion_calls_per_second,replay_insertion_transitions_per_second,optimizer_updates_per_second,training_samples_per_second,requested_action,requested_action_name,action_overridden,fire_reset_reason,fire_reset_auto_count
1795,double_dqn,dueling,10,,,0.0,0.0,0.74751,2.5786692276597023e-05,-0.004413194488734007,-0.002472910564392805,-0.008930245414376259,-0.011640777811408043,-0.009411261416971684,0.006694787181913853,0.00919284112751484,0.007534717209637165,1796,10000,0.1796,342.4271576298425,342.4271576298425,200,True,4,1500,0.0,0.0,0,NOOP,random,430,472,351,543,1494,302,0.8318485523385301,0,898,2,2,342.4271576298425,171.21357881492125,2,2,171.21357881492125,342.4271576298425,171.21357881492125,342.4271576298425,38.13220018149694,1220.2304058079021,0,NOOP,False,,
1796,double_dqn,dueling,10,,,0.0,0.0,0.747425,2.5786692276597023e-05,-0.004413194488734007,-0.002472910564392805,-0.008930245414376259,-0.011640777811408043,-0.009411261416971684,0.006694787181913853,0.00919284112751484,0.007534717209637165,1796,10000,0.1796,342.42233947351104,342.42233947351104,200,True,4,1500,0.0,0.0,1,FIRE,fire_reset,430,472,351,543,1494,302,0.8318485523385301,1,898,2,2,342.42233947351104,171.21116973675552,2,2,171.21116973675552,342.42233947351104,171.21116973675552,342.42233947351104,38.13166363847562,1220.21323643122,1,FIRE,False,after_life_loss,
1842,double_dqn,dueling,11,0.0,125,0.0,0.0,0.743515,,,,,,,,,,1842,10000,0.1842,342.3048803687138,342.3048803687138,211,False,4,1500,0.0,0.0,0,NOOP,greedy,450,483,357,552,1528,314,0.8295331161780674,1,921,2,2,342.3048803687138,171.1524401843569,2,2,171.1524401843569,342.3048803687138,171.1524401843569,342.3048803687138,39.21081962964094,1254.74622814851,0,NOOP,False,,
1955,double_dqn,dueling,12,0.0,124,0.0,0.0,0.7339100000000001,,,,,,,,,,1956,10000,0.1956,342.8205653187883,342.8205653187883,240,True,4,1500,0.0,0.0,0,NOOP,random,478,516,379,583,1610,346,0.8231083844580777,0,978,2,2,342.8205653187883,171.41028265939414,2,2,171.41028265939414,342.8205653187883,171.41028265939414,342.8205653187883,42.0638730452501,1346.0439374480031,0,NOOP,False,,
2195,double_dqn,dueling,12,,,0.0,0.0,0.71351,0.015752390027046204,-0.0037695332430303097,0.004489905200898647,-0.0105365552008152,0.024475717917084694,0.9931109547615051,0.03801710531115532,1.0031439065933228,0.04439336061477661,2196,10000,0.2196,341.71031927663853,341.71031927663853,300,True,5,2000,0.0,0.0,3,LEFT,greedy,548,570,421,657,1778,418,0.8096539162112932,0,1098,2,2,341.71031927663853,170.85515963831926,2,2,170.85515963831926,341.71031927663853,170.85515963831926,341.71031927663853,46.68173760609816,1493.8156033951411,3,LEFT,False,,
2196,double_dqn,dueling,12,,,2.0,2.0,0.713425,0.015752390027046204,-0.0037695332430303097,0.004489905200898647,-0.0105365552008152,0.024475717917084694,0.9931109547615051,0.03801710531115532,1.0031439065933228,0.04439336061477661,2196,10000,0.2196,341.706118737145,341.706118737145,300,True,5,2000,0.0,0.0,3,LEFT,greedy,548,570,421,657,1778,418,0.8096539162112932,1,1098,2,2,341.706118737145,170.8530593685725,2,2,170.8530593685725,341.706118737145,170.8530593685725,341.706118737145,46.681163761905054,1493.7972403809617,3,LEFT,False,,
2259,double_dqn,dueling,13,1.0,152,0.0,0.0,0.70807,,,,,,,,,,2260,10000,0.226,341.30929356057345,341.30929356057345,316,True,5,2000,0.0,0.0,0,NOOP,random,560,583,444,673,1825,435,0.8075221238938053,0,1130,2,2,341.30929356057345,170.65464678028673,2,2,170.65464678028673,341.30929356057345,170.65464678028673,341.30929356057345,47.722892373956284,1527.132555966601,0,NOOP,False,,
2288,double_dqn,dueling,14,2.0,223,0.0,0.0,0.705605,,,,,,,,,,2288,10000,0.2288,341.06464880777065,341.06464880777065,323,True,5,2000,0.0,0.0,0,NOOP,greedy,572,590,449,677,1847,441,0.8072552447552448,1,1144,2,2,341.06464880777065,170.53232440388533,2,2,170.53232440388533,341.06464880777065,170.53232440388533,341.06464880777065,48.148549635013076,1540.7535883204184,0,NOOP,False,,
2595,double_dqn,dueling,14,,,2.0,2.0,0.6795100000000001,0.015330572612583637,0.0001031296415021643,0.0071876998990774155,-0.004932999610900879,0.020147161558270454,0.9890157580375671,0.04157937690615654,0.9883677363395691,0.03887670859694481,2596,10000,0.2596,338.02233858289566,338.02233858289566,400,True,6,2500,0.0,0.0,1,FIRE,random,691,666,501,738,2063,533,0.7946841294298922,0,1298,2,2,338.02233858289566,169.01116929144783,2,2,169.01116929144783,338.02233858289566,169.01116929144783,338.02233858289566,52.083565267010115,1666.6740885443237,1,FIRE,False,,
2596,double_dqn,dueling,14,,,1.0,1.0,0.6794250000000001,0.015330572612583637,0.0001031296415021643,0.0071876998990774155,-0.004932999610900879,0.020147161558270454,0.9890157580375671,0.04157937690615654,0.9883677363395691,0.03887670859694481,2596,10000,0.2596,338.01840382067326,338.01840382067326,400,True,6,2500,0.0,0.0,1,FIRE,random,691,666,501,738,2063,533,0.7946841294298922,1,1298,2,2,338.01840382067326,169.00920191033663,2,2,169.00920191033663,338.01840382067326,169.00920191033663,338.01840382067326,52.08295898623625,1666.65468755956,1,FIRE,False,,
2655,double_dqn,dueling,15,2.0,198,0.0,0.0,0.67441,,,,,,,,,,2656,10000,0.2656,336.8772840516094,336.8772840516094,415,True,6,2500,0.0,0.0,1,FIRE,random,705,680,510,761,2107,549,0.7932981927710844,0,1328,2,2,336.8772840516094,168.4386420258047,2,2,168.4386420258047,336.8772840516094,168.4386420258047,336.8772840516094,52.63707563306398,1684.3864202580473,1,FIRE,False,,
2726,double_dqn,dueling,16,2.0,219,0.0,0.0,0.668375,,,,,,,,,,2726,10000,0.2726,336.46604699497243,336.46604699497243,432,False,6,2500,0.0,0.0,3,LEFT,greedy,717,699,518,792,2153,573,0.7898019075568599,1,1363,2,2,336.46604699497243,168.23302349748622,2,2,168.23302349748622,336.46604699497243,168.23302349748622,336.46604699497243,53.321105026349265,1706.2753608431765,3,LEFT,False,,
2961,double_dqn,dueling,17,1.0,153,0.0,0.0,0.6484000000000001,,,,,,,,,,2962,10000,0.2962,336.8929106134201,336.8929106134201,491,False,6,2500,0.0,0.0,1,FIRE,random,803,748,561,850,2303,659,0.7775151924375422,0,1481,2,2,336.8929106134201,168.44645530671005,2,2,168.44645530671005,336.8929106134201,168.44645530671005,336.8929106134201,55.84551624280529,1787.0565197697692,1,FIRE,False,,
2995,double_dqn,dueling,17,,,0.0,0.0,0.64551,8.062746019277256e-06,-0.007555664051324129,-0.00044263806194067,-0.012268522754311562,-0.007490617223083973,-0.007190334144979715,0.0033168443478643894,0.0069759744219481945,0.0022052633576095104,2996,10000,0.2996,336.80654402204647,336.80654402204647,500,True,6,2500,0.0,0.0,0,NOOP,greedy,819,757,567,853,2322,674,0.7750333778371161,0,1498,2,2,336.80654402204647,168.40327201102323,2,2,168.40327201102323,336.80654402204647,168.40327201102323,336.80654402204647,56.20936983011456,1798.699834563666,0,NOOP,False,,
2996,double_dqn,dueling,17,,,1.0,1.0,0.645425,8.062746019277256e-06,-0.007555664051324129,-0.00044263806194067,-0.012268522754311562,-0.007490617223083973,-0.007190334144979715,0.0033168443478643894,0.0069759744219481945,0.0022052633576095104,2996,10000,0.2996,336.8036020637514,336.8036020637514,500,True,6,2500,0.0,0.0,2,RIGHT,random,819,757,567,853,2322,674,0.7750333778371161,1,1498,2,2,336.8036020637514,168.4018010318757,2,2,168.4018010318757,336.8036020637514,168.4018010318757,336.8036020637514,56.20887884909069,1798.684123170902,2,RIGHT,False,,
3209,double_dqn,dueling,18,0.0,124,0.0,0.0,0.6273200000000001,,,,,,,,,,3210,10000,0.321,336.1312824455739,336.1312824455739,553,False,7,3000,0.0,0.0,1,FIRE,random,928,801,609,872,2458,752,0.7657320872274144,0,1605,2,2,336.1312824455739,168.06564122278695,2,2,168.06564122278695,336.1312824455739,168.06564122278695,336.1312824455739,57.906728720374566,1853.0153190519861,1,FIRE,False,,
3256,double_dqn,dueling,19,3.0,265,0.0,0.0,0.623325,,,,,,,,,,3256,10000,0.3256,335.4833737357099,335.4833737357099,565,True,7,3000,0.0,0.0,0,NOOP,random,935,813,616,892,2489,767,0.7644348894348895,1,1628,2,2,335.4833737357099,167.74168686785495,2,2,167.74168686785495,335.4833737357099,167.74168686785495,335.4833737357099,58.21502031961796,1862.8806502277748,0,NOOP,False,,
3395,double_dqn,dueling,19,,,0.0,0.0,0.61151,3.4708202292677015e-05,-0.002145328326150775,0.0019802111200988293,-0.007005753461271524,-0.009080329909920692,-0.008887025527656078,0.007614390924572945,0.011063656769692898,0.008684884756803513,3396,10000,0.3396,336.4398140982153,336.4398140982153,600,True,7,3000,0.0,0.0,3,LEFT,greedy,956,848,632,960,2568,828,0.7561837455830389,0,1698,2,2,336.4398140982153,168.21990704910766,2,2,168.21990704910766,336.4398140982153,168.21990704910766,336.4398140982153,59.44166326823592,1902.1332245835495,3,LEFT,False,,
3396,double_dqn,dueling,19,,,0.0,0.0,0.611425,3.4708202292677015e-05,-0.002145328326150775,0.0019802111200988293,-0.007005753461271524,-0.009080329909920692,-0.008887025527656078,0.007614390924572945,0.011063656769692898,0.008684884756803513,3396,10000,0.3396,336.4374442890204,336.4374442890204,600,True,7,3000,0.0,0.0,0,NOOP,random,956,848,632,960,2568,828,0.7561837455830389,1,1698,2,2,336.4374442890204,168.2187221445102,2,2,168.2187221445102,336.4374442890204,168.2187221445102,336.4374442890204,59.44124457403187,1902.1198263690198,0,NOOP,False,,
3455,double_dqn,dueling,20,0.0,123,0.0,0.0,0.6064100000000001,,,,,,,,,,3456,10000,0.3456,336.6396424400235,336.6396424400235,615,True,7,3000,0.0,0.0,3,LEFT,greedy,960,862,648,986,2601,855,0.7526041666666666,0,1728,2,2,336.6396424400235,168.31982122001176,2,2,168.31982122001176,336.6396424400235,168.31982122001176,336.6396424400235,59.90549192726113,1916.9757416723562,3,LEFT,False,,
3506,double_dqn,dueling,21,0.0,125,0.0,0.0,0.602075,,,,,,,,,,3506,10000,0.3506,336.54546751769186,336.54546751769186,627,False,8,3500,0.0,0.0,3,LEFT,greedy,969,874,657,1006,2631,875,0.7504278379920137,1,1753,2,2,336.54546751769186,168.27273375884593,2,2,168.27273375884593,336.54546751769186,168.27273375884593,336.54546751769186,60.186539684424645,1925.9692699015886,3,LEFT,False,,
3703,double_dqn,dueling,22,0.0,124,0.0,0.0,0.5853300000000001,,,,,,,,,,3704,10000,0.3704,336.6355303639941,336.6355303639941,677,True,8,3500,0.0,0.0,2,RIGHT,greedy,1024,923,713,1044,2755,949,0.7437904967602592,0,1852,2,2,336.6355303639941,168.31776518199706,2,2,168.31776518199706,336.6355303639941,168.31776518199706,336.6355303639941,61.52868630033046,1968.9179616105748,2,RIGHT,False,,
3795,double_dqn,dueling,22,,,1.0,1.0,0.57751,8.645298294140957e-06,0.005993771366775036,0.010199988260865211,0.0025851670652627945,0.0027343062683939934,0.0031057174783200026,0.003022649558261037,0.00761116947978735,0.0036189593374729156,3796,10000,0.3796,336.6906308882415,336.6906308882415,700,True,8,3500,0.0,0.0,1,FIRE,random,1037,945,747,1067,2807,989,0.7394625922023182,0,1898,2,2,336.6906308882415,168.34531544412076,2,2,168.34531544412076,336.6906308882415,168.34531544412076,336.6906308882415,62.08731338824264,1986.7940284237645,1,FIRE,False,,
3796,double_dqn,dueling,22,,,1.0,1.0,0.5774250000000001,8.645298294140957e-06,0.005993771366775036,0.010199988260865211,0.0025851670652627945,0.0027343062683939934,0.0031057174783200026,0.003022649558261037,0.00761116947978735,0.0036189593374729156,3796,10000,0.3796,336.68842998786397,336.68842998786397,700,True,8,3500,0.0,0.0,3,LEFT,greedy,1037,945,747,1067,2807,989,0.7394625922023182,1,1898,2,2,336.68842998786397,168.34421499393198,2,2,168.34421499393198,336.68842998786397,168.34421499393198,336.68842998786397,62.08690753200864,1986.7810410242764,3,LEFT,False,,
3848,double_dqn,dueling,23,1.0,171,0.0,0.0,0.573005,,,,,,,,,,3848,10000,0.3848,336.60520355776396,336.60520355776396,713,True,8,3500,0.0,0.0,3,LEFT,greedy,1043,952,758,1095,2835,1013,0.7367463617463618,1,1924,2,2,336.60520355776396,168.30260177888198,2,2,168.30260177888198,336.60520355776396,168.30260177888198,336.60520355776396,62.36993506670627,1995.8379221346006,3,LEFT,False,,
4041,double_dqn,dueling,24,1.0,169,0.0,0.0,0.5566,,,,,,,,,,4042,10000,0.4042,337.45892312168525,337.45892312168525,761,False,9,4000,0.0,0.0,3,LEFT,greedy,1076,1043,775,1148,2944,1098,0.7283523008411678,0,2021,2,2,337.45892312168525,168.72946156084262,2,2,168.72946156084262,337.45892312168525,168.72946156084262,337.45892312168525,63.534448415537476,2033.1023492971992,3,LEFT,False,,
4096,double_dqn,dueling,25,0.0,124,0.0,0.0,0.551925,,,,,,,,,,4096,10000,0.4096,337.4198090453215,337.4198090453215,775,True,9,4000,0.0,0.0,2,RIGHT,greedy,1089,1053,784,1170,2972,1124,0.7255859375,1,2048,2,2,337.4198090453215,168.70990452266074,2,2,168.70990452266074,337.4198090453215,168.70990452266074,337.4198090453215,63.84285937747171,2042.9715000790948,2,RIGHT,False,,
4195,double_dqn,dueling,25,,,0.0,0.0,0.54351,1.733015596983023e-05,0.0007624411955475807,0.007498518563807011,-0.0046990797854959965,-0.0032867873087525368,-0.0029038924258202314,0.004503070376813412,0.010884338058531284,0.0050900280475616455,4196,10000,0.4196,337.7803914313812,337.7803914313812,800,True,9,4000,0.0,0.0,1,FIRE,fire_reset,1126,1073,797,1200,3032,1164,0.7225929456625357,0,2098,2,2,337.7803914313812,168.8901957156906,2,2,168.8901957156906,337.7803914313812,168.8901957156906,337.7803914313812,64.40045594497259,2060.814590239123,2,RIGHT,True,after_life_loss,
