timestamp_utc,elapsed_seconds,gpu_index,gpu_utilization_percent,gpu_power_watts,gpu_memory_used_bytes,gpu_memory_total_bytes,process_cpu_percent,process_rss_bytes,sample_status
2026-08-28T09:08:50.377920+00:00,0.0008113998919725418,0,12.0,20.11,1869611008.0,8585740288.0,120.35526620861904,,ok
2026-08-28T09:08:51.450920+00:00,1.0737242999020964,0,8.0,19.9,1974468608.0,8585740288.0,6.3713815911203024,,ok
2026-08-28T09:08:52.392918+00:00,2.0157127999700606,0,24.0,23.63,2556428288.0,8585740288.0,5.598197323661088,,ok
2026-08-28T09:08:53.397951+00:00,3.0212695999071,0,18.0,21.31,2559574016.0,8585740288.0,6.1183453290606895,,ok
2026-08-28T09:08:54.384947+00:00,4.007759799947962,0,16.0,19.83,2563768320.0,8585740288.0,6.236598954297935,,ok
2026-08-28T09:08:55.378920+00:00,5.001682099886239,0,20.0,18.67,2646605824.0,8585740288.0,6.1899644976091865,,ok
2026-08-28T09:08:56.382920+00:00,6.0059396000579,0,29.0,24.85,2641362944.0,8585740288.0,6.0290189507820955,,ok
2026-08-28T09:08:57.379921+00:00,7.002961399964988,0,23.0,23.95,2641362944.0,8585740288.0,6.072773434406582,,ok
2026-08-28T09:08:58.388924+00:00,8.012014700099826,0,23.0,21.32,2627731456.0,8585740288.0,5.710024187255593,,ok
2026-08-28T09:08:59.382919+00:00,9.005812200019136,0,28.0,22.46,2648702976.0,8585740288.0,6.092476083398882,,ok
2026-08-28T09:09:00.385917+00:00,10.008704900043085,0,24.0,21.72,2652897280.0,8585740288.0,6.134598197646749,,ok
2026-08-28T09:09:01.379920+00:00,11.002659799996763,0,23.0,22.02,2651848704.0,8585740288.0,6.189761477393714,,ok
2026-08-28T09:09:02.380917+00:00,12.003641499904916,0,26.0,21.8,2659188736.0,8585740288.0,6.243870393008669,,ok
2026-08-28T09:09:03.389932+00:00,13.012771100038663,0,27.0,22.07,2662334464.0,8585740288.0,6.193456221254083,,ok
2026-08-28T09:09:04.385919+00:00,14.008717899909243,0,23.0,21.67,2647654400.0,8585740288.0,6.177381915178074,,ok
2026-08-28T09:09:05.379921+00:00,15.00262390007265,0,25.0,21.87,2646605824.0,8585740288.0,5.895300963105838,,ok
2026-08-28T09:09:06.387917+00:00,16.010719399899244,0,33.0,26.99,2637168640.0,8585740288.0,6.102937421165235,,ok
2026-08-28T09:09:07.382920+00:00,17.005631600040942,0,33.0,27.15,2667577344.0,8585740288.0,6.183805715844842,,ok
2026-08-28T09:09:08.378921+00:00,18.001871299929917,0,32.0,29.96,2627731456.0,8585740288.0,5.979516024771829,,ok
2026-08-28T09:09:09.389918+00:00,19.012822200078517,0,25.0,26.22,2667577344.0,8585740288.0,5.892503037609811,,ok
2026-08-28T09:09:10.382920+00:00,20.005686700111255,0,26.0,24.48,2679111680.0,8585740288.0,6.0982012145669,,ok
2026-08-28T09:09:11.385920+00:00,21.008837000001222,0,26.0,24.6,2686451712.0,8585740288.0,5.938323749345848,,ok
2026-08-28T09:09:12.391917+00:00,22.01499560009688,0,22.0,21.84,2690646016.0,8585740288.0,5.823510328732395,,ok
2026-08-28T09:09:13.386919+00:00,23.00966260000132,0,15.0,20.14,2689597440.0,8585740288.0,6.18533011610024,,ok
2026-08-28T09:09:14.382920+00:00,24.005724200047553,0,23.0,21.67,2694840320.0,8585740288.0,6.470797086948076,,ok
2026-08-28T09:09:15.389920+00:00,25.01314779999666,0,23.0,24.02,2694840320.0,8585740288.0,5.913134504989698,,ok
2026-08-28T09:09:16.381918+00:00,26.004888999974355,0,22.0,21.98,2694840320.0,8585740288.0,6.302047348784705,,ok
2026-08-28T09:09:17.379920+00:00,27.00272909994237,0,24.0,24.94,2689597440.0,8585740288.0,6.067793327001061,,ok
2026-08-28T09:09:18.388918+00:00,28.01166220009327,0,28.0,32.46,2668625920.0,8585740288.0,6.097870858910113,,ok
2026-08-28T09:09:19.382920+00:00,29.005683900089934,0,24.0,22.08,2617245696.0,8585740288.0,6.287589093901038,,ok
2026-08-28T09:09:20.385919+00:00,30.008801199961454,0,32.0,25.21,2630877184.0,8585740288.0,6.1332246495878415,,ok
2026-08-28T09:09:21.379918+00:00,31.002695499919355,0,23.0,25.05,2640314368.0,8585740288.0,6.28839505394561,,ok
2026-08-28T09:09:22.389923+00:00,32.01269309991039,0,18.0,23.14,2640314368.0,8585740288.0,6.091443930217843,,ok
2026-08-28T09:09:23.382922+00:00,33.005782400025055,0,20.0,28.78,2640314368.0,8585740288.0,5.900149160124352,,ok
2026-08-28T09:09:24.390921+00:00,34.013821200001985,0,29.0,22.54,2757754880.0,8585740288.0,6.297035640042102,,ok
2026-08-28T09:09:25.384315+00:00,35.00721940002404,0,31.0,22.93,2860515328.0,8585740288.0,6.094924975569279,,ok
2026-08-28T09:09:26.386026+00:00,36.00880139996298,0,26.0,24.07,2790260736.0,8585740288.0,6.142626115859809,,ok
2026-08-28T09:09:27.380198+00:00,37.00346149993129,0,27.0,23.99,2779774976.0,8585740288.0,6.185373023604736,,ok
2026-08-28T09:09:28.378581+00:00,38.00196860008873,0,20.0,23.55,2781872128.0,8585740288.0,6.1615423155528175,,ok
2026-08-28T09:09:29.388125+00:00,39.01088669989258,0,33.0,26.78,2720006144.0,8585740288.0,6.00116848055073,,ok
2026-08-28T09:09:30.383973+00:00,40.0067322999239,0,28.0,25.42,2711617536.0,8585740288.0,6.374136964405311,,ok
