schema_version,policy_type,action_distribution_semantics,evaluation_seed,seed_index,episode_index,episode_seed,episode_return,episode_length,terminated,truncated,time_limit,time_limit_source,complete,stop_reason,action_noop,action_fire,action_right,action_left,action_distribution_json,requested_action_noop,requested_action_fire,requested_action_right,requested_action_left,executed_action_noop,executed_action_fire,executed_action_right,executed_action_left,requested_action_distribution_json,executed_action_distribution_json,auto_fire_count,auto_fire_reason_counts_json
2,dqn,executed/wrapper-resolved action,101,0,1,101,73.0,1300,True,False,False,,True,terminated,232,372,326,370,"{""FIRE"": 372, ""LEFT"": 370, ""NOOP"": 232, ""RIGHT"": 326}",233,362,330,375,232,372,326,370,"{""FIRE"": 362, ""LEFT"": 375, ""NOOP"": 233, ""RIGHT"": 330}","{""FIRE"": 372, ""LEFT"": 370, ""NOOP"": 232, ""RIGHT"": 326}",11,"{""after_life_loss"": 8, ""initial_serve"": 3}"
2,dqn,executed/wrapper-resolved action,101,0,2,102,51.0,1069,True,False,False,,True,terminated,155,205,318,391,"{""FIRE"": 205, ""LEFT"": 391, ""NOOP"": 155, ""RIGHT"": 318}",155,195,322,397,155,205,318,391,"{""FIRE"": 195, ""LEFT"": 397, ""NOOP"": 155, ""RIGHT"": 322}","{""FIRE"": 205, ""LEFT"": 391, ""NOOP"": 155, ""RIGHT"": 318}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,101,0,3,103,58.0,1035,True,False,False,,True,terminated,193,307,221,314,"{""FIRE"": 307, ""LEFT"": 314, ""NOOP"": 193, ""RIGHT"": 221}",196,297,224,318,193,307,221,314,"{""FIRE"": 297, ""LEFT"": 318, ""NOOP"": 196, ""RIGHT"": 224}","{""FIRE"": 307, ""LEFT"": 314, ""NOOP"": 193, ""RIGHT"": 221}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,101,0,4,104,47.0,1206,True,False,False,,True,terminated,172,360,297,377,"{""FIRE"": 360, ""LEFT"": 377, ""NOOP"": 172, ""RIGHT"": 297}",172,352,303,379,172,360,297,377,"{""FIRE"": 352, ""LEFT"": 379, ""NOOP"": 172, ""RIGHT"": 303}","{""FIRE"": 360, ""LEFT"": 377, ""NOOP"": 172, ""RIGHT"": 297}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,101,0,5,105,74.0,1572,True,False,False,,True,terminated,191,325,480,576,"{""FIRE"": 325, ""LEFT"": 576, ""NOOP"": 191, ""RIGHT"": 480}",191,319,483,579,191,325,480,576,"{""FIRE"": 319, ""LEFT"": 579, ""NOOP"": 191, ""RIGHT"": 483}","{""FIRE"": 325, ""LEFT"": 576, ""NOOP"": 191, ""RIGHT"": 480}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,202,1,1,202,58.0,1403,True,False,False,,True,terminated,171,353,400,479,"{""FIRE"": 353, ""LEFT"": 479, ""NOOP"": 171, ""RIGHT"": 400}",172,344,403,484,171,353,400,479,"{""FIRE"": 344, ""LEFT"": 484, ""NOOP"": 172, ""RIGHT"": 403}","{""FIRE"": 353, ""LEFT"": 479, ""NOOP"": 171, ""RIGHT"": 400}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,202,1,2,203,26.0,773,True,False,False,,True,terminated,113,237,175,248,"{""FIRE"": 237, ""LEFT"": 248, ""NOOP"": 113, ""RIGHT"": 175}",116,230,177,250,113,237,175,248,"{""FIRE"": 230, ""LEFT"": 250, ""NOOP"": 116, ""RIGHT"": 177}","{""FIRE"": 237, ""LEFT"": 248, ""NOOP"": 113, ""RIGHT"": 175}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,202,1,3,204,37.0,891,True,False,False,,True,terminated,134,218,257,282,"{""FIRE"": 218, ""LEFT"": 282, ""NOOP"": 134, ""RIGHT"": 257}",135,210,261,285,134,218,257,282,"{""FIRE"": 210, ""LEFT"": 285, ""NOOP"": 135, ""RIGHT"": 261}","{""FIRE"": 218, ""LEFT"": 282, ""NOOP"": 134, ""RIGHT"": 257}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,202,1,4,205,62.0,1317,True,False,False,,True,terminated,182,245,393,497,"{""FIRE"": 245, ""LEFT"": 497, ""NOOP"": 182, ""RIGHT"": 393}",185,236,396,500,182,245,393,497,"{""FIRE"": 236, ""LEFT"": 500, ""NOOP"": 185, ""RIGHT"": 396}","{""FIRE"": 245, ""LEFT"": 497, ""NOOP"": 182, ""RIGHT"": 393}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,202,1,5,206,70.0,1219,True,False,False,,True,terminated,152,303,337,427,"{""FIRE"": 303, ""LEFT"": 427, ""NOOP"": 152, ""RIGHT"": 337}",152,296,341,430,152,303,337,427,"{""FIRE"": 296, ""LEFT"": 430, ""NOOP"": 152, ""RIGHT"": 341}","{""FIRE"": 303, ""LEFT"": 427, ""NOOP"": 152, ""RIGHT"": 337}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
