global_step,algorithm,architecture,episode,raw_episode_return,episode_length,current_raw_episode_return,current_training_episode_return,epsilon,loss,q_mean,q_max,q_min,target_mean,target_max,td_error_mean_abs,td_error_max_abs,gradient_norm,replay_size,replay_capacity,replay_occupancy,steps_per_second,sps,optimizer_updates,optimizer_updated,target_sync_count,last_target_sync_step,raw_reward,training_reward,action,action_name,action_source,noop_count,fire_count,right_count,left_count,random_decision_count,greedy_decision_count,random_decision_ratio,environment_index,vector_iteration,num_envs,transition_batch_size,environment_transitions_per_second,vector_iterations_per_second,action_inference_batch_size,replay_insert_batch_size,action_inference_batches_per_second,action_inference_transitions_per_second,replay_insertion_calls_per_second,replay_insertion_transitions_per_second,optimizer_updates_per_second,training_samples_per_second,requested_action,requested_action_name,action_overridden,fire_reset_reason,fire_reset_auto_count
250856,double_dqn,dueling,732,11.0,519,0.0,0.0,0.05,,,,,,,,,,856,10000,0.0856,338.12437668612955,338.12437668612955,62001,False,502,250500,0.0,0.0,0,NOOP,greedy,47390,62225,76071,65170,16867,233989,0.06723777784864624,1,125428,2,2,338.12437668612955,169.06218834306478,2,2,169.06218834306478,338.12437668612955,169.06218834306478,338.12437668612955,0.0,0.0,0,NOOP,False,,
251069,double_dqn,dueling,733,20.0,988,0.0,0.0,0.05,,,,,,,,,,1070,10000,0.107,272.1091549400315,272.1091549400315,62018,False,503,251000,0.0,0.0,3,LEFT,greedy,47436,62269,76120,65245,16876,234194,0.06721631417532958,0,125535,2,2,272.1091549400315,136.05457747001574,2,2,136.05457747001574,272.1091549400315,136.05457747001574,272.1091549400315,4.323229564467789,138.34334606296926,3,LEFT,False,,
251395,double_dqn,dueling,733,,,3.0,3.0,0.05,0.0013269905466586351,2.28195858001709,3.024594783782959,0.08484934270381927,2.2977027893066406,2.938035726547241,0.03653561696410179,0.1250920295715332,0.19927501678466797,1396,10000,0.1396,264.23221226147587,264.23221226147587,62100,True,503,251000,0.0,0.0,3,LEFT,greedy,47481,62318,76213,65384,16889,234507,0.06718086206622222,0,125698,2,2,264.23221226147587,132.11610613073793,2,2,132.11610613073793,264.23221226147587,132.11610613073793,264.23221226147587,18.738530812239336,599.6329859916588,3,LEFT,False,,
251396,double_dqn,dueling,733,,,11.0,8.0,0.05,0.0013269905466586351,2.28195858001709,3.024594783782959,0.08484934270381927,2.2977027893066406,2.938035726547241,0.03653561696410179,0.1250920295715332,0.19927501678466797,1396,10000,0.1396,264.22548064058134,264.22548064058134,62100,True,503,251000,0.0,0.0,2,RIGHT,greedy,47481,62318,76213,65384,16889,234507,0.06718086206622222,1,125698,2,2,264.22548064058134,132.11274032029067,2,2,132.11274032029067,264.22548064058134,132.11274032029067,264.22548064058134,18.738053426516874,599.61770964854,2,RIGHT,False,,
251795,double_dqn,dueling,733,,,8.0,8.0,0.05,0.0012665028916671872,2.178534507751465,2.9939258098602295,1.554505705833435,2.18513822555542,2.985581636428833,0.04066513478755951,0.15453553199768066,0.18827484548091888,1796,10000,0.1796,257.17840635278355,257.17840635278355,62200,True,504,251500,0.0,0.0,3,LEFT,greedy,47568,62374,76336,65518,16915,234881,0.06717739757581534,0,125898,2,2,257.17840635278355,128.58920317639178,2,2,128.58920317639178,257.17840635278355,128.58920317639178,257.17840635278355,28.495825648220446,911.8664207430543,3,LEFT,False,,
251796,double_dqn,dueling,733,,,14.0,11.0,0.05,0.0012665028916671872,2.178534507751465,2.9939258098602295,1.554505705833435,2.18513822555542,2.985581636428833,0.04066513478755951,0.15453553199768066,0.18827484548091888,1796,10000,0.1796,257.1754381504886,257.1754381504886,62200,True,504,251500,0.0,0.0,2,RIGHT,greedy,47568,62374,76336,65518,16915,234881,0.06717739757581534,1,125898,2,2,257.1754381504886,128.5877190752443,2,2,128.5877190752443,257.1754381504886,128.5877190752443,257.1754381504886,28.495496766117615,911.8558965157637,2,RIGHT,False,,
252195,double_dqn,dueling,733,,,16.0,13.0,0.05,0.0006574725266546011,2.153191328048706,2.9356725215911865,1.0566166639328003,2.1754817962646484,2.952451229095459,0.028021570295095444,0.08916163444519043,0.10825717449188232,2196,10000,0.2196,256.7216652670679,256.7216652670679,62300,True,505,252000,0.0,0.0,2,RIGHT,greedy,47662,62449,76443,65642,16937,235259,0.06715808339545433,0,126098,2,2,256.7216652670679,128.36083263353396,2,2,128.36083263353396,256.7216652670679,128.36083263353396,256.7216652670679,34.95436152771097,1118.539568886751,2,RIGHT,False,,
252196,double_dqn,dueling,733,,,22.0,16.0,0.05,0.0006574725266546011,2.153191328048706,2.9356725215911865,1.0566166639328003,2.1754817962646484,2.952451229095459,0.028021570295095444,0.08916163444519043,0.10825717449188232,2196,10000,0.2196,256.7182649685395,256.7182649685395,62300,True,505,252000,0.0,0.0,1,FIRE,greedy,47662,62449,76443,65642,16937,235259,0.06715808339545433,1,126098,2,2,256.7182649685395,128.35913248426974,2,2,128.35913248426974,256.7182649685395,128.35913248426974,256.7182649685395,34.953898554459606,1118.5247537427074,1,FIRE,False,,
252288,double_dqn,dueling,734,23.0,716,0.0,0.0,0.05,,,,,,,,,,2288,10000,0.2288,257.08290655002395,257.08290655002395,62323,True,505,252000,0.0,0.0,1,FIRE,greedy,47688,62472,76463,65665,16940,235348,0.06714548452562151,1,126144,2,2,257.08290655002395,128.54145327501197,2,2,128.54145327501197,257.08290655002395,128.54145327501197,257.08290655002395,36.180374086148475,1157.7719707567512,1,FIRE,False,,
252487,double_dqn,dueling,735,20.0,709,0.0,0.0,0.05,,,,,,,,,,2488,10000,0.2488,257.1379500222219,257.1379500222219,62373,True,505,252000,0.0,0.0,3,LEFT,random,47760,62512,76501,65715,16947,235541,0.0671200215455784,0,126244,2,2,257.1379500222219,128.56897501111095,2,2,128.56897501111095,257.1379500222219,128.56897501111095,257.1379500222219,38.44667098402996,1230.2934714889586,3,LEFT,False,,
