global_step,algorithm,episode,raw_episode_return,episode_length,current_raw_episode_return,current_training_episode_return,epsilon,loss,q_mean,q_max,q_min,target_mean,target_max,td_error_mean_abs,td_error_max_abs,gradient_norm,replay_size,replay_capacity,replay_occupancy,steps_per_second,sps,optimizer_updates,optimizer_updated,target_sync_count,last_target_sync_step,raw_reward,training_reward,action,action_name,action_source,noop_count,fire_count,right_count,left_count,random_decision_count,greedy_decision_count,random_decision_ratio,environment_index,vector_iteration,num_envs,transition_batch_size,environment_transitions_per_second,vector_iterations_per_second,action_inference_batch_size,replay_insert_batch_size,action_inference_batches_per_second,replay_insertion_calls_per_second,requested_action,requested_action_name,action_overridden,fire_reset_reason,fire_reset_auto_count
2996,double_dqn,18,,,0.0,0.0,0.645425,0.01538095809519291,0.04782013222575188,0.05587504059076309,0.03832991421222687,0.07419458031654358,1.0429444313049316,0.03873201832175255,0.9908998012542725,0.032552991062402725,2996,10000,0.2996,360.96692147215225,360.96692147215225,500,True,6,2500,0.0,0.0,2,RIGHT,random,863,1001,607,525,2322,674,0.7750333778371161,1,1498,2,2,360.96692147215225,180.48346073607613,2,2,,,2,RIGHT,False,,
3230,double_dqn,19,1.0,169,0.0,0.0,0.625535,,,,,,,,,,3230,10000,0.323,359.4701721320476,359.4701721320476,558,False,7,3000,0.0,0.0,2,RIGHT,greedy,941,1086,652,551,2471,759,0.765015479876161,1,1615,2,2,359.4701721320476,179.7350860660238,2,2,,,2,RIGHT,False,,
3395,double_dqn,19,,,2.0,2.0,0.61151,0.00024980545276775956,0.06647847592830658,0.07487905025482178,0.052112068980932236,0.0476536825299263,0.05649018660187721,0.020042002201080322,0.03530098870396614,0.015098975040018559,3396,10000,0.3396,358.59797568347284,358.59797568347284,600,True,7,3000,0.0,0.0,1,FIRE,greedy,969,1149,714,564,2568,828,0.7561837455830389,0,1698,2,2,358.59797568347284,179.29898784173642,2,2,,,1,FIRE,False,,
3396,double_dqn,19,,,0.0,0.0,0.611425,0.00024980545276775956,0.06647847592830658,0.07487905025482178,0.052112068980932236,0.0476536825299263,0.05649018660187721,0.020042002201080322,0.03530098870396614,0.015098975040018559,3396,10000,0.3396,358.5955522830927,358.5955522830927,600,True,7,3000,0.0,0.0,0,NOOP,random,969,1149,714,564,2568,828,0.7561837455830389,1,1698,2,2,358.5955522830927,179.29777614154634,2,2,,,0,NOOP,False,,
3521,double_dqn,20,3.0,267,0.0,0.0,0.6008,,,,,,,,,,3522,10000,0.3522,357.84379423816273,357.84379423816273,631,False,8,3500,0.0,0.0,2,RIGHT,greedy,999,1173,751,599,2641,881,0.7498580352072686,0,1761,2,2,357.84379423816273,178.92189711908136,2,2,,,2,RIGHT,False,,
3570,double_dqn,21,1.0,170,0.0,0.0,0.596635,,,,,,,,,,3570,10000,0.357,357.07114643143615,357.07114643143615,643,False,8,3500,0.0,0.0,0,NOOP,random,1009,1188,767,606,2672,898,0.7484593837535014,1,1785,2,2,357.07114643143615,178.53557321571807,2,2,,,0,NOOP,False,,
3769,double_dqn,22,0.0,124,0.0,0.0,0.57972,,,,,,,,,,3770,10000,0.377,356.35571813855387,356.35571813855387,693,False,8,3500,0.0,0.0,2,RIGHT,random,1057,1240,800,673,2793,977,0.7408488063660478,0,1885,2,2,356.35571813855387,178.17785906927693,2,2,,,2,RIGHT,False,,
3795,double_dqn,22,,,0.0,0.0,0.57751,7.964835094753653e-05,0.05072904750704765,0.06027258187532425,0.04499796777963638,0.043302424252033234,0.045442771166563034,0.007651264313608408,0.05236918106675148,0.006129290442913771,3796,10000,0.3796,355.9642713883022,355.9642713883022,700,True,8,3500,0.0,0.0,1,FIRE,random,1062,1258,800,676,2807,989,0.7394625922023182,0,1898,2,2,355.9642713883022,177.9821356941511,2,2,,,1,FIRE,False,,
3796,double_dqn,22,,,1.0,1.0,0.5774250000000001,7.964835094753653e-05,0.05072904750704765,0.06027258187532425,0.04499796777963638,0.043302424252033234,0.045442771166563034,0.007651264313608408,0.05236918106675148,0.006129290442913771,3796,10000,0.3796,355.9620850130891,355.9620850130891,700,True,8,3500,0.0,0.0,1,FIRE,greedy,1062,1258,800,676,2807,989,0.7394625922023182,1,1898,2,2,355.9620850130891,177.98104250654455,2,2,,,1,FIRE,False,,
4015,double_dqn,23,0.0,123,0.0,0.0,0.55881,,,,,,,,,,4016,10000,0.4016,354.2616427461058,354.2616427461058,755,True,9,4000,0.0,0.0,3,LEFT,greedy,1106,1362,827,721,2931,1085,0.7298306772908366,0,2008,2,2,354.2616427461058,177.1308213730529,2,2,,,3,LEFT,False,,
4066,double_dqn,24,3.0,248,0.0,0.0,0.554475,,,,,,,,,,4066,10000,0.4066,353.3459953953599,353.3459953953599,767,False,9,4000,0.0,0.0,3,LEFT,greedy,1111,1385,833,737,2955,1111,0.7267584849975406,1,2033,2,2,353.3459953953599,176.67299769767996,2,2,,,3,LEFT,False,,
