timestamp_utc,elapsed_seconds,gpu_index,gpu_utilization_percent,gpu_power_watts,gpu_memory_used_bytes,gpu_memory_total_bytes,process_cpu_percent,process_rss_bytes,sample_status
2026-08-28T09:55:34.265228+00:00,0.001146900001913309,0,5.0,21.99,2503999488.0,8585740288.0,0.0,,ok
2026-08-28T09:55:35.275226+00:00,1.0113791001494974,0,11.0,20.94,2503999488.0,8585740288.0,9.086710459891247,,ok
2026-08-28T09:55:36.270226+00:00,2.0059571000747383,0,13.0,21.17,2503999488.0,8585740288.0,12.469955851559398,,ok
2026-08-28T09:55:37.278243+00:00,3.014377700164914,0,27.0,27.38,2502950912.0,8585740288.0,11.524054297344588,,ok
2026-08-28T09:55:38.272229+00:00,4.007961200084537,0,29.0,26.54,2503999488.0,8585740288.0,12.285863494097375,,ok
2026-08-28T09:55:39.267223+00:00,5.0030530001968145,0,27.0,27.72,2503999488.0,8585740288.0,11.285862016683138,,ok
2026-08-28T09:55:40.270226+00:00,6.006328799994662,0,26.0,27.17,2503999488.0,8585740288.0,11.485812278460102,,ok
2026-08-28T09:55:41.278227+00:00,7.013932500034571,0,26.0,28.11,2498756608.0,8585740288.0,11.242639342780624,,ok
2026-08-28T09:55:42.270338+00:00,8.006004200084135,0,26.0,26.48,2503999488.0,8585740288.0,12.206149010595716,,ok
2026-08-28T09:55:43.278227+00:00,9.014003500109538,0,23.0,25.69,2540699648.0,8585740288.0,12.013277191457197,,ok
2026-08-28T09:55:44.269225+00:00,10.004945900058374,0,26.0,25.22,2579496960.0,8585740288.0,12.318608276959667,,ok
2026-08-28T09:55:45.278225+00:00,11.013913700124249,0,28.0,27.26,2559574016.0,8585740288.0,11.71138092734824,,ok
2026-08-28T09:55:46.271227+00:00,12.007103300187737,0,31.0,28.35,2549088256.0,8585740288.0,11.602454857827132,,ok
2026-08-28T09:55:47.276227+00:00,13.011968200094998,0,28.0,27.7,2541748224.0,8585740288.0,11.370465075508642,,ok
2026-08-28T09:55:48.271224+00:00,14.006888100178912,0,25.0,28.32,2549088256.0,8585740288.0,11.77858639576071,,ok
2026-08-28T09:55:49.268902+00:00,15.004955400014296,0,24.0,25.99,2542796800.0,8585740288.0,9.980226284983894,,ok
2026-08-28T09:55:50.270186+00:00,16.005834500072524,0,27.0,24.72,2539651072.0,8585740288.0,11.90359804626441,,ok
2026-08-28T09:55:51.275781+00:00,17.011475500185043,0,25.0,27.01,2531262464.0,8585740288.0,11.361689955681598,,ok
2026-08-28T09:55:52.267782+00:00,18.003499899990857,0,27.0,27.4,2531262464.0,8585740288.0,12.009848248019045,,ok
2026-08-28T09:55:53.274784+00:00,19.010454900097102,0,16.0,27.54,2528116736.0,8585740288.0,11.831772520860346,,ok
2026-08-28T09:55:54.276781+00:00,20.013077600160614,0,25.0,26.7,2521825280.0,8585740288.0,11.980298021617813,,ok
