schema_version,policy_type,action_distribution_semantics,evaluation_seed,seed_index,episode_index,episode_seed,episode_return,episode_length,terminated,truncated,time_limit,time_limit_source,complete,stop_reason,action_noop,action_fire,action_right,action_left,action_distribution_json,requested_action_noop,requested_action_fire,requested_action_right,requested_action_left,executed_action_noop,executed_action_fire,executed_action_right,executed_action_left,requested_action_distribution_json,executed_action_distribution_json,auto_fire_count,auto_fire_reason_counts_json
2,dqn,executed/wrapper-resolved action,101,0,1,101,5.0,333,True,False,False,,True,terminated,98,20,53,162,"{""FIRE"": 20, ""LEFT"": 162, ""NOOP"": 98, ""RIGHT"": 53}",101,11,53,168,98,20,53,162,"{""FIRE"": 11, ""LEFT"": 168, ""NOOP"": 101, ""RIGHT"": 53}","{""FIRE"": 20, ""LEFT"": 162, ""NOOP"": 98, ""RIGHT"": 53}",11,"{""after_life_loss"": 8, ""initial_serve"": 3}"
2,dqn,executed/wrapper-resolved action,101,0,2,102,4.0,299,True,False,False,,True,terminated,44,17,54,184,"{""FIRE"": 17, ""LEFT"": 184, ""NOOP"": 44, ""RIGHT"": 54}",44,9,54,192,44,17,54,184,"{""FIRE"": 9, ""LEFT"": 192, ""NOOP"": 44, ""RIGHT"": 54}","{""FIRE"": 17, ""LEFT"": 184, ""NOOP"": 44, ""RIGHT"": 54}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,101,0,3,103,3.0,249,True,False,False,,True,terminated,54,11,61,123,"{""FIRE"": 11, ""LEFT"": 123, ""NOOP"": 54, ""RIGHT"": 61}",56,2,65,126,54,11,61,123,"{""FIRE"": 2, ""LEFT"": 126, ""NOOP"": 56, ""RIGHT"": 65}","{""FIRE"": 11, ""LEFT"": 123, ""NOOP"": 54, ""RIGHT"": 61}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,101,0,4,104,9.0,377,True,False,False,,True,terminated,98,41,94,144,"{""FIRE"": 41, ""LEFT"": 144, ""NOOP"": 98, ""RIGHT"": 94}",100,32,96,149,98,41,94,144,"{""FIRE"": 32, ""LEFT"": 149, ""NOOP"": 100, ""RIGHT"": 96}","{""FIRE"": 41, ""LEFT"": 144, ""NOOP"": 98, ""RIGHT"": 94}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,101,0,5,105,6.0,337,True,False,False,,True,terminated,47,31,82,177,"{""FIRE"": 31, ""LEFT"": 177, ""NOOP"": 47, ""RIGHT"": 82}",47,23,83,184,47,31,82,177,"{""FIRE"": 23, ""LEFT"": 184, ""NOOP"": 47, ""RIGHT"": 83}","{""FIRE"": 31, ""LEFT"": 177, ""NOOP"": 47, ""RIGHT"": 82}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,202,1,1,202,5.0,328,True,False,False,,True,terminated,40,34,63,191,"{""FIRE"": 34, ""LEFT"": 191, ""NOOP"": 40, ""RIGHT"": 63}",41,27,64,196,40,34,63,191,"{""FIRE"": 27, ""LEFT"": 196, ""NOOP"": 41, ""RIGHT"": 64}","{""FIRE"": 34, ""LEFT"": 191, ""NOOP"": 40, ""RIGHT"": 63}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,202,1,2,203,5.0,316,True,False,False,,True,terminated,87,33,43,153,"{""FIRE"": 33, ""LEFT"": 153, ""NOOP"": 87, ""RIGHT"": 43}",90,25,43,158,87,33,43,153,"{""FIRE"": 25, ""LEFT"": 158, ""NOOP"": 90, ""RIGHT"": 43}","{""FIRE"": 33, ""LEFT"": 153, ""NOOP"": 87, ""RIGHT"": 43}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,202,1,3,204,6.0,375,True,False,False,,True,terminated,90,47,70,168,"{""FIRE"": 47, ""LEFT"": 168, ""NOOP"": 90, ""RIGHT"": 70}",92,38,70,175,90,47,70,168,"{""FIRE"": 38, ""LEFT"": 175, ""NOOP"": 92, ""RIGHT"": 70}","{""FIRE"": 47, ""LEFT"": 168, ""NOOP"": 90, ""RIGHT"": 70}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,202,1,4,205,7.0,379,True,False,False,,True,terminated,64,60,64,191,"{""FIRE"": 60, ""LEFT"": 191, ""NOOP"": 64, ""RIGHT"": 64}",64,51,65,199,64,60,64,191,"{""FIRE"": 51, ""LEFT"": 199, ""NOOP"": 64, ""RIGHT"": 65}","{""FIRE"": 60, ""LEFT"": 191, ""NOOP"": 64, ""RIGHT"": 64}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,202,1,5,206,3.0,269,True,False,False,,True,terminated,74,19,51,125,"{""FIRE"": 19, ""LEFT"": 125, ""NOOP"": 74, ""RIGHT"": 51}",77,10,51,131,74,19,51,125,"{""FIRE"": 10, ""LEFT"": 131, ""NOOP"": 77, ""RIGHT"": 51}","{""FIRE"": 19, ""LEFT"": 125, ""NOOP"": 74, ""RIGHT"": 51}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,303,2,1,303,4.0,279,True,False,False,,True,terminated,102,13,68,96,"{""FIRE"": 13, ""LEFT"": 96, ""NOOP"": 102, ""RIGHT"": 68}",105,4,70,100,102,13,68,96,"{""FIRE"": 4, ""LEFT"": 100, ""NOOP"": 105, ""RIGHT"": 70}","{""FIRE"": 13, ""LEFT"": 96, ""NOOP"": 102, ""RIGHT"": 68}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,303,2,2,304,7.0,419,True,False,False,,True,terminated,70,16,91,242,"{""FIRE"": 16, ""LEFT"": 242, ""NOOP"": 70, ""RIGHT"": 91}",70,7,91,251,70,16,91,242,"{""FIRE"": 7, ""LEFT"": 251, ""NOOP"": 70, ""RIGHT"": 91}","{""FIRE"": 16, ""LEFT"": 242, ""NOOP"": 70, ""RIGHT"": 91}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
