evaluation_seed,episode_index,episode_seed,episode_return,episode_length,terminated,truncated,time_limit,stop_reason,life_loss_count,life_loss_events_without_fire,auto_fire_count,dominant_action,dominant_action_fraction,dominant_greedy_action,dominant_greedy_action_fraction,mean_observation_changed_fraction,unchanged_observation_step_fraction,life_loss_to_fire_latencies_json,action_distribution_json
101,1,101,1.0,26998,False,True,True,time_limit,1,0,0,RIGHT,0.9622194236610119,RIGHT,0.9622194236610119,0.005824075067960859,0.961700866730869,[16395],"{""FIRE"": 42, ""LEFT"": 940, ""NOOP"": 38, ""RIGHT"": 25978}"
101,2,102,7.0,405,True,False,False,terminated,5,1,0,RIGHT,0.5259259259259259,RIGHT,0.5259259259259259,0.0046266551888245015,0.0,"[33, 1, 1, 1]","{""FIRE"": 47, ""LEFT"": 113, ""NOOP"": 32, ""RIGHT"": 213}"
101,3,103,1.0,26995,False,True,True,time_limit,1,0,0,RIGHT,0.9674013706241896,RIGHT,0.9674013706241896,0.0058077333545012745,0.9641785515836266,[16392],"{""FIRE"": 23, ""LEFT"": 816, ""NOOP"": 41, ""RIGHT"": 26115}"
