timestamp_utc,elapsed_seconds,gpu_index,gpu_utilization_percent,gpu_power_watts,gpu_memory_used_bytes,gpu_memory_total_bytes,process_cpu_percent,process_rss_bytes,sample_status
2026-08-26T09:56:23.533359+00:00,0.0009151999838650227,0,15.0,23.72,2054160384.0,8585740288.0,0.0,,ok
2026-08-26T09:56:24.533707+00:00,1.0011905999854207,0,11.0,20.61,2620391424.0,8585740288.0,7.126943489751836,,ok
2026-08-26T09:56:25.547179+00:00,2.014725699904375,0,11.0,20.52,2620391424.0,8585740288.0,6.070183213676531,,ok
2026-08-26T09:56:26.548322+00:00,3.01601679995656,0,10.0,20.32,2620391424.0,8585740288.0,6.339471358198602,,ok
2026-08-26T09:56:27.544318+00:00,4.012019799905829,0,13.0,21.67,2622488576.0,8585740288.0,5.7848407588064195,,ok
2026-08-26T09:56:28.537875+00:00,5.005266599939205,0,18.0,23.82,2622488576.0,8585740288.0,5.702573116580565,,ok
2026-08-26T09:56:29.535855+00:00,6.003354099928401,0,18.0,24.53,2622488576.0,8585740288.0,5.674915776483833,,ok
2026-08-26T09:56:30.546213+00:00,7.013668500003405,0,19.0,24.33,2622488576.0,8585740288.0,5.799556058554657,,ok
2026-08-26T09:56:31.545381+00:00,8.013651999994181,0,15.0,23.95,2622488576.0,8585740288.0,5.859471681336789,,ok
2026-08-26T09:56:32.536550+00:00,9.00411539990455,0,16.0,23.69,2622488576.0,8585740288.0,5.915791538112609,,ok
2026-08-26T09:56:33.547210+00:00,10.014865699922666,0,19.0,24.28,2622488576.0,8585740288.0,5.603819756371555,,ok
2026-08-26T09:56:34.542046+00:00,11.010277299908921,0,18.0,23.61,2622488576.0,8585740288.0,5.98449048622927,,ok
2026-08-26T09:56:35.534643+00:00,12.002122599980794,0,18.0,24.01,2622488576.0,8585740288.0,5.513712672332787,,ok
2026-08-26T09:56:36.546372+00:00,13.013925999985076,0,16.0,24.16,2622488576.0,8585740288.0,5.791021259639175,,ok
2026-08-26T09:56:37.542061+00:00,14.009795799967833,0,18.0,24.24,2622488576.0,8585740288.0,6.177859545601773,,ok
2026-08-26T09:56:38.535279+00:00,15.002659999998286,0,15.0,24.0,2622488576.0,8585740288.0,6.098203057189783,,ok
2026-08-26T09:56:39.544279+00:00,16.0116801999975,0,16.0,23.59,2622488576.0,8585740288.0,5.613428254463504,,ok
2026-08-26T09:56:40.542005+00:00,17.009525800007395,0,19.0,23.61,2622488576.0,8585740288.0,6.067759881829367,,ok
2026-08-26T09:56:41.539004+00:00,18.006393799907528,0,15.0,22.28,2622488576.0,8585740288.0,6.073710361458655,,ok
2026-08-26T09:56:42.534005+00:00,19.00140199996531,0,16.0,23.03,2622488576.0,8585740288.0,5.299893508107532,,ok
2026-08-26T09:56:43.544646+00:00,20.012331099947914,0,17.0,23.86,2622488576.0,8585740288.0,5.989230599954227,,ok
2026-08-26T09:56:44.535809+00:00,21.003265899955295,0,16.0,23.71,2622488576.0,8585740288.0,5.912977321975531,,ok
2026-08-26T09:56:45.544568+00:00,22.01213699998334,0,10.0,23.32,2622488576.0,8585740288.0,5.420662758451476,,ok
2026-08-26T09:56:46.537828+00:00,23.005453899968415,0,18.0,23.85,2622488576.0,8585740288.0,5.800483964469518,,ok
2026-08-26T09:56:47.537183+00:00,24.004788799909875,0,18.0,24.39,2622488576.0,8585740288.0,5.667832175511732,,ok
2026-08-26T09:56:48.544135+00:00,25.011736599961296,0,18.0,23.87,2622488576.0,8585740288.0,5.818946125807897,,ok
2026-08-26T09:56:49.535072+00:00,26.00253309996333,0,17.0,23.71,2622488576.0,8585740288.0,5.420985792732386,,ok
