schema_version,policy_type,action_distribution_semantics,evaluation_seed,seed_index,episode_index,episode_seed,episode_return,episode_length,terminated,truncated,time_limit,time_limit_source,complete,stop_reason,action_noop,action_fire,action_right,action_left,action_distribution_json,requested_action_noop,requested_action_fire,requested_action_right,requested_action_left,executed_action_noop,executed_action_fire,executed_action_right,executed_action_left,requested_action_distribution_json,executed_action_distribution_json,auto_fire_count,auto_fire_reason_counts_json
2,dqn,executed/wrapper-resolved action,101,0,1,101,19.0,712,True,False,False,,True,terminated,35,345,142,190,"{""FIRE"": 345, ""LEFT"": 190, ""NOOP"": 35, ""RIGHT"": 142}",35,339,142,196,35,345,142,190,"{""FIRE"": 339, ""LEFT"": 196, ""NOOP"": 35, ""RIGHT"": 142}","{""FIRE"": 345, ""LEFT"": 190, ""NOOP"": 35, ""RIGHT"": 142}",11,"{""after_life_loss"": 8, ""initial_serve"": 3}"
2,dqn,executed/wrapper-resolved action,101,0,2,102,31.0,937,True,False,False,,True,terminated,76,408,179,274,"{""FIRE"": 408, ""LEFT"": 274, ""NOOP"": 76, ""RIGHT"": 179}",76,401,180,280,76,408,179,274,"{""FIRE"": 401, ""LEFT"": 280, ""NOOP"": 76, ""RIGHT"": 180}","{""FIRE"": 408, ""LEFT"": 274, ""NOOP"": 76, ""RIGHT"": 179}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,101,0,3,103,45.0,1019,True,False,False,,True,terminated,62,357,210,390,"{""FIRE"": 357, ""LEFT"": 390, ""NOOP"": 62, ""RIGHT"": 210}",62,349,210,398,62,357,210,390,"{""FIRE"": 349, ""LEFT"": 398, ""NOOP"": 62, ""RIGHT"": 210}","{""FIRE"": 357, ""LEFT"": 390, ""NOOP"": 62, ""RIGHT"": 210}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,101,0,4,104,38.0,950,True,False,False,,True,terminated,30,405,217,298,"{""FIRE"": 405, ""LEFT"": 298, ""NOOP"": 30, ""RIGHT"": 217}",30,396,219,305,30,405,217,298,"{""FIRE"": 396, ""LEFT"": 305, ""NOOP"": 30, ""RIGHT"": 219}","{""FIRE"": 405, ""LEFT"": 298, ""NOOP"": 30, ""RIGHT"": 217}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,101,0,5,105,27.0,774,True,False,False,,True,terminated,28,356,152,238,"{""FIRE"": 356, ""LEFT"": 238, ""NOOP"": 28, ""RIGHT"": 152}",28,349,154,243,28,356,152,238,"{""FIRE"": 349, ""LEFT"": 243, ""NOOP"": 28, ""RIGHT"": 154}","{""FIRE"": 356, ""LEFT"": 238, ""NOOP"": 28, ""RIGHT"": 152}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,202,1,1,202,21.0,761,True,False,False,,True,terminated,63,294,170,234,"{""FIRE"": 294, ""LEFT"": 234, ""NOOP"": 63, ""RIGHT"": 170}",63,286,171,241,63,294,170,234,"{""FIRE"": 286, ""LEFT"": 241, ""NOOP"": 63, ""RIGHT"": 171}","{""FIRE"": 294, ""LEFT"": 234, ""NOOP"": 63, ""RIGHT"": 170}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,202,1,2,203,12.0,553,True,False,False,,True,terminated,13,326,88,126,"{""FIRE"": 326, ""LEFT"": 126, ""NOOP"": 13, ""RIGHT"": 88}",13,321,88,131,13,326,88,126,"{""FIRE"": 321, ""LEFT"": 131, ""NOOP"": 13, ""RIGHT"": 88}","{""FIRE"": 326, ""LEFT"": 126, ""NOOP"": 13, ""RIGHT"": 88}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,202,1,3,204,27.0,971,True,False,False,,True,terminated,31,546,174,220,"{""FIRE"": 546, ""LEFT"": 220, ""NOOP"": 31, ""RIGHT"": 174}",32,540,175,224,31,546,174,220,"{""FIRE"": 540, ""LEFT"": 224, ""NOOP"": 32, ""RIGHT"": 175}","{""FIRE"": 546, ""LEFT"": 220, ""NOOP"": 31, ""RIGHT"": 174}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,202,1,4,205,30.0,1136,True,False,False,,True,terminated,95,510,247,284,"{""FIRE"": 510, ""LEFT"": 284, ""NOOP"": 95, ""RIGHT"": 247}",95,503,247,291,95,510,247,284,"{""FIRE"": 503, ""LEFT"": 291, ""NOOP"": 95, ""RIGHT"": 247}","{""FIRE"": 510, ""LEFT"": 284, ""NOOP"": 95, ""RIGHT"": 247}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,202,1,5,206,38.0,1081,True,False,False,,True,terminated,101,387,265,328,"{""FIRE"": 387, ""LEFT"": 328, ""NOOP"": 101, ""RIGHT"": 265}",101,378,265,337,101,387,265,328,"{""FIRE"": 378, ""LEFT"": 337, ""NOOP"": 101, ""RIGHT"": 265}","{""FIRE"": 387, ""LEFT"": 328, ""NOOP"": 101, ""RIGHT"": 265}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
