schema_version,policy_type,action_distribution_semantics,evaluation_seed,seed_index,episode_index,episode_seed,episode_return,episode_length,terminated,truncated,time_limit,time_limit_source,complete,stop_reason,action_noop,action_fire,action_right,action_left,action_distribution_json,requested_action_noop,requested_action_fire,requested_action_right,requested_action_left,executed_action_noop,executed_action_fire,executed_action_right,executed_action_left,requested_action_distribution_json,executed_action_distribution_json,auto_fire_count,auto_fire_reason_counts_json
2,dqn,executed/wrapper-resolved action,101,0,1,101,6.0,346,True,False,False,,True,terminated,34,154,71,87,"{""FIRE"": 154, ""LEFT"": 87, ""NOOP"": 34, ""RIGHT"": 71}",35,146,75,90,34,154,71,87,"{""FIRE"": 146, ""LEFT"": 90, ""NOOP"": 35, ""RIGHT"": 75}","{""FIRE"": 154, ""LEFT"": 87, ""NOOP"": 34, ""RIGHT"": 71}",11,"{""after_life_loss"": 8, ""initial_serve"": 3}"
2,dqn,executed/wrapper-resolved action,101,0,2,102,6.0,335,True,False,False,,True,terminated,55,124,76,80,"{""FIRE"": 124, ""LEFT"": 80, ""NOOP"": 55, ""RIGHT"": 76}",55,116,83,81,55,124,76,80,"{""FIRE"": 116, ""LEFT"": 81, ""NOOP"": 55, ""RIGHT"": 83}","{""FIRE"": 124, ""LEFT"": 80, ""NOOP"": 55, ""RIGHT"": 76}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,101,0,3,103,8.0,432,True,False,False,,True,terminated,61,165,97,109,"{""FIRE"": 165, ""LEFT"": 109, ""NOOP"": 61, ""RIGHT"": 97}",62,157,104,109,61,165,97,109,"{""FIRE"": 157, ""LEFT"": 109, ""NOOP"": 62, ""RIGHT"": 104}","{""FIRE"": 165, ""LEFT"": 109, ""NOOP"": 61, ""RIGHT"": 97}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,101,0,4,104,10.0,506,True,False,False,,True,terminated,116,156,110,124,"{""FIRE"": 156, ""LEFT"": 124, ""NOOP"": 116, ""RIGHT"": 110}",119,148,113,126,116,156,110,124,"{""FIRE"": 148, ""LEFT"": 126, ""NOOP"": 119, ""RIGHT"": 113}","{""FIRE"": 156, ""LEFT"": 124, ""NOOP"": 116, ""RIGHT"": 110}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,101,0,5,105,17.0,543,True,False,False,,True,terminated,91,213,99,140,"{""FIRE"": 213, ""LEFT"": 140, ""NOOP"": 91, ""RIGHT"": 99}",93,205,102,143,91,213,99,140,"{""FIRE"": 205, ""LEFT"": 143, ""NOOP"": 93, ""RIGHT"": 102}","{""FIRE"": 213, ""LEFT"": 140, ""NOOP"": 91, ""RIGHT"": 99}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,202,1,1,202,5.0,308,True,False,False,,True,terminated,28,112,81,87,"{""FIRE"": 112, ""LEFT"": 87, ""NOOP"": 28, ""RIGHT"": 81}",31,104,85,88,28,112,81,87,"{""FIRE"": 104, ""LEFT"": 88, ""NOOP"": 31, ""RIGHT"": 85}","{""FIRE"": 112, ""LEFT"": 87, ""NOOP"": 28, ""RIGHT"": 81}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,202,1,2,203,24.0,882,True,False,False,,True,terminated,295,313,126,148,"{""FIRE"": 313, ""LEFT"": 148, ""NOOP"": 295, ""RIGHT"": 126}",298,305,128,151,295,313,126,148,"{""FIRE"": 305, ""LEFT"": 151, ""NOOP"": 298, ""RIGHT"": 128}","{""FIRE"": 313, ""LEFT"": 148, ""NOOP"": 295, ""RIGHT"": 126}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,202,1,3,204,14.0,492,True,False,False,,True,terminated,87,221,79,105,"{""FIRE"": 221, ""LEFT"": 105, ""NOOP"": 87, ""RIGHT"": 79}",89,214,81,108,87,221,79,105,"{""FIRE"": 214, ""LEFT"": 108, ""NOOP"": 89, ""RIGHT"": 81}","{""FIRE"": 221, ""LEFT"": 105, ""NOOP"": 87, ""RIGHT"": 79}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,202,1,4,205,10.0,518,True,False,False,,True,terminated,139,179,91,109,"{""FIRE"": 179, ""LEFT"": 109, ""NOOP"": 139, ""RIGHT"": 91}",143,170,96,109,139,179,91,109,"{""FIRE"": 170, ""LEFT"": 109, ""NOOP"": 143, ""RIGHT"": 96}","{""FIRE"": 179, ""LEFT"": 109, ""NOOP"": 139, ""RIGHT"": 91}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,202,1,5,206,12.0,626,True,False,False,,True,terminated,133,212,129,152,"{""FIRE"": 212, ""LEFT"": 152, ""NOOP"": 133, ""RIGHT"": 129}",133,204,135,154,133,212,129,152,"{""FIRE"": 204, ""LEFT"": 154, ""NOOP"": 133, ""RIGHT"": 135}","{""FIRE"": 212, ""LEFT"": 152, ""NOOP"": 133, ""RIGHT"": 129}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
2,dqn,executed/wrapper-resolved action,303,2,1,303,13.0,665,True,False,False,,True,terminated,166,196,137,166,"{""FIRE"": 196, ""LEFT"": 166, ""NOOP"": 166, ""RIGHT"": 137}",166,189,142,168,166,196,137,166,"{""FIRE"": 189, ""LEFT"": 168, ""NOOP"": 166, ""RIGHT"": 142}","{""FIRE"": 196, ""LEFT"": 166, ""NOOP"": 166, ""RIGHT"": 137}",10,"{""after_life_loss"": 8, ""initial_serve"": 2}"
